Feature | Report | Usage Page                | Usage                                      | Range     | Count | Bits | Value(s)
--------|--------|---------------------------|--------------------------------------------|-----------|-------|------|---------
  20000 |      2 | Digitizers                | Contact Max                                | [ 0,  15] |     1 |   4  | 5
  20001 |      2 | Digitizers                | Button Type                                | [ 0,  15] |     1 |   4  | 0
  70000 |      7 | Digitizers                | 0xd0060                                    | [ 0,   1] |     1 |   1  | 0
  70001 |      7 | Digitizers                | Undefined                                  | [ 0,   1] |     1 |   7  | 0
  80000 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 252
  80001 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 40
  80002 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 254
  80003 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 132
  80004 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 64
  80005 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 203
  80006 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 154
  80007 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 135
  80008 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 13
  80009 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 190
  8000a |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 87
  8000b |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 60
  8000c |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 182
  8000d |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 112
  8000e |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 9
  8000f |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 136
  80010 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 7
  80011 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 151
  80012 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 45
  80013 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 43
  80014 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 227
  80015 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 56
  80016 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 52
  80017 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 182
  80018 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 108
  80019 |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 237
  8001a |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 176
  8001b |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 247
  8001c |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 229
  8001d |      8 | Vendor Defined Page 1     | 0xff0000c5                                 | [ 0, 255] |     1 |   8  | 156
