grabbed /dev/input/event14, listening 8s...
ev type=3 code=57 value=185
ev type=3 code=53 value=2599
ev type=3 code=54 value=1449
ev type=1 code=330 value=1
ev type=1 code=325 value=1
ev type=3 code=0 value=2599
ev type=3 code=1 value=1449
ev type=4 code=5 value=0
ev type=0 code=0 value=0
ev type=4 code=5 value=4000
ev type=0 code=0 value=0
ev type=4 code=5 value=8000
ev type=0 code=0 value=0
ev type=4 code=5 value=12000
ev type=0 code=0 value=0
ev type=4 code=5 value=16000
ev type=0 code=0 value=0
ev type=4 code=5 value=20000
ev type=0 code=0 value=0
ev type=4 code=5 value=24000
total events in 8s: 10363
