touchpad: x[0..4762] y[0..3099] res=32,32 slots=5
palm: bottom_zone=750 edge_left=190 edge_right=4571 spread=400
virtual device created: ASUF1209 Palm Filtered Touchpad
grabbed source device (exclusive)
cnt=1 s0=fng (1631,1378) [filtered=0]
cnt=1 s0=fng (1631,1378) [filtered=0]
cnt=1 s0=fng (1631,1378) [filtered=0]
cnt=1 s0=fng (1631,1378) [filtered=0]
cnt=1 s0=fng (1631,1378) [filtered=0]
cnt=1 s0=fng (1630,1378) [filtered=0]
cnt=1 s0=fng (1629,1378) [filtered=0]
cnt=1 s0=fng (1629,1378) [filtered=0]
cnt=1 s0=fng (1628,1378) [filtered=0]
cnt=1 s0=fng (1626,1378) [filtered=0]
cnt=1 s0=fng (1624,1378) [filtered=0]
cnt=1 s0=fng (1619,1378) [filtered=0]
cnt=1 s0=fng (1616,1378) [filtered=0]
cnt=1 s0=fng (1610,1378) [filtered=0]
cnt=1 s0=fng (1601,1378) [filtered=0]
cnt=1 s0=fng (1590,1379) [filtered=0]
cnt=1 s0=fng (1576,1382) [filtered=0]
cnt=1 s0=fng (1563,1383) [filtered=0]
cnt=1 s0=fng (1546,1386) [filtered=0]
cnt=1 s0=fng (1528,1391) [filtered=0]
cnt=1 s0=fng (1507,1399) [filtered=0]
cnt=1 s0=fng (1486,1406) [filtered=0]
cnt=1 s0=fng (1465,1415) [filtered=0]
cnt=1 s0=fng (1444,1425) [filtered=0]
cnt=1 s0=fng (1423,1436) [filtered=0]
cnt=1 s0=fng (1404,1449) [filtered=0]
cnt=1 s0=fng (1385,1462) [filtered=0]
cnt=1 s0=fng (1368,1475) [filtered=0]
cnt=1 s0=fng (1352,1490) [filtered=0]
cnt=1 s0=fng (1338,1506) [filtered=0]
cnt=1 s0=fng (1326,1523) [filtered=0]
cnt=1 s0=fng (1315,1540) [filtered=0]
cnt=1 s0=fng (1307,1557) [filtered=0]
cnt=1 s0=fng (1300,1574) [filtered=0]
cnt=1 s0=fng (1295,1592) [filtered=0]
cnt=1 s0=fng (1290,1609) [filtered=0]
cnt=1 s0=fng (1286,1627) [filtered=0]
cnt=1 s0=fng (1285,1646) [filtered=0]
cnt=1 s0=fng (1285,1664) [filtered=0]
cnt=1 s0=fng (1289,1682) [filtered=0]
cnt=1 s0=fng (1293,1699) [filtered=0]
cnt=1 s0=fng (1299,1719) [filtered=0]
cnt=1 s0=fng (1308,1740) [filtered=0]
cnt=1 s0=fng (1320,1761) [filtered=0]
cnt=1 s0=fng (1335,1783) [filtered=0]
cnt=1 s0=fng (1349,1805) [filtered=0]
cnt=1 s0=fng (1366,1828) [filtered=0]
cnt=1 s0=fng (1387,1852) [filtered=0]
cnt=1 s0=fng (1413,1877) [filtered=0]
cnt=1 s0=fng (1442,1902) [filtered=0]
cnt=1 s0=fng (1470,1927) [filtered=0]
cnt=1 s0=fng (1500,1951) [filtered=0]
cnt=1 s0=fng (1531,1973) [filtered=0]
cnt=1 s0=fng (1562,1993) [filtered=0]
cnt=1 s0=fng (1593,2012) [filtered=0]
cnt=1 s0=fng (1623,2028) [filtered=0]
cnt=1 s0=fng (1652,2042) [filtered=0]
cnt=1 s0=fng (1681,2053) [filtered=0]
cnt=1 s0=fng (1708,2060) [filtered=0]
cnt=1 s0=fng (1735,2067) [filtered=0]
cnt=1 s0=fng (1760,2071) [filtered=0]
cnt=1 s0=fng (1782,2071) [filtered=0]
cnt=1 s0=fng (1803,2064) [filtered=0]
cnt=1 s0=fng (1821,2053) [filtered=0]
cnt=1 s0=fng (1838,2043) [filtered=0]
cnt=1 s0=fng (1855,2027) [filtered=0]
cnt=1 s0=fng (1871,2005) [filtered=0]
cnt=1 s0=fng (1884,1976) [filtered=0]
cnt=1 s0=fng (1896,1948) [filtered=0]
cnt=1 s0=fng (1906,1913) [filtered=0]
cnt=1 s0=fng (1913,1873) [filtered=0]
cnt=1 s0=fng (1917,1829) [filtered=0]
cnt=1 s0=fng (1917,1781) [filtered=0]
cnt=1 s0=fng (1917,1734) [filtered=0]
cnt=1 s0=fng (1912,1685) [filtered=0]
cnt=1 s0=fng (1905,1634) [filtered=0]
cnt=1 s0=fng (1895,1584) [filtered=0]
cnt=1 s0=fng (1883,1538) [filtered=0]
cnt=1 s0=fng (1872,1493) [filtered=0]
cnt=1 s0=fng (1859,1454) [filtered=0]
cnt=1 s0=fng (1845,1421) [filtered=0]
cnt=1 s0=fng (1828,1392) [filtered=0]
cnt=1 s0=fng (1812,1364) [filtered=0]
cnt=1 s0=fng (1794,1341) [filtered=0]
cnt=1 s0=fng (1774,1323) [filtered=0]
cnt=1 s0=fng (1752,1309) [filtered=0]
cnt=1 s0=fng (1726,1299) [filtered=0]
cnt=1 s0=fng (1701,1290) [filtered=0]
cnt=1 s0=fng (1674,1285) [filtered=0]
cnt=1 s0=fng (1646,1283) [filtered=0]
cnt=1 s0=fng (1618,1286) [filtered=0]
cnt=1 s0=fng (1591,1292) [filtered=0]
cnt=1 s0=fng (1564,1296) [filtered=0]
cnt=1 s0=fng (1538,1302) [filtered=0]
cnt=1 s0=fng (1512,1312) [filtered=0]
cnt=1 s0=fng (1486,1324) [filtered=0]
cnt=1 s0=fng (1461,1335) [filtered=0]
cnt=1 s0=fng (1436,1348) [filtered=0]
cnt=1 s0=fng (1411,1363) [filtered=0]
cnt=1 s0=fng (1388,1379) [filtered=0]
cnt=1 s0=fng (1367,1395) [filtered=0]
cnt=1 s0=fng (1347,1411) [filtered=0]
cnt=1 s0=fng (1330,1427) [filtered=0]
cnt=1 s0=fng (1313,1442) [filtered=0]
cnt=1 s0=fng (1299,1457) [filtered=0]
cnt=1 s0=fng (1287,1472) [filtered=0]
cnt=1 s0=fng (1276,1487) [filtered=0]
cnt=1 s0=fng (1268,1502) [filtered=0]
cnt=1 s0=fng (1262,1517) [filtered=0]
cnt=1 s0=fng (1258,1532) [filtered=0]
cnt=1 s0=fng (1254,1546) [filtered=0]
cnt=1 s0=fng (1253,1561) [filtered=0]
cnt=1 s0=fng (1253,1575) [filtered=0]
cnt=1 s0=fng (1257,1588) [filtered=0]
cnt=1 s0=fng (1263,1599) [filtered=0]
cnt=1 s0=fng (1269,1609) [filtered=0]
cnt=1 s0=fng (1275,1619) [filtered=0]
cnt=1 s0=fng (1283,1630) [filtered=0]
cnt=1 s0=fng (1292,1640) [filtered=0]
cnt=1 s0=fng (1302,1649) [filtered=0]
cnt=1 s0=fng (1311,1657) [filtered=0]
cnt=1 s0=fng (1320,1665) [filtered=0]
cnt=1 s0=fng (1329,1672) [filtered=0]
cnt=1 s0=fng (1338,1677) [filtered=0]
cnt=1 s0=fng (1347,1682) [filtered=0]
cnt=1 s0=fng (1355,1686) [filtered=0]
cnt=1 s0=fng (1362,1690) [filtered=0]
cnt=1 s0=fng (1368,1693) [filtered=0]
cnt=1 s0=fng (1373,1694) [filtered=0]
cnt=1 s0=fng (1377,1695) [filtered=0]
cnt=1 s0=fng (1382,1695) [filtered=0]
cnt=1 s0=fng (1386,1695) [filtered=0]
cnt=1 s0=fng (1389,1695) [filtered=0]
cnt=1 s0=fng (1390,1692) [filtered=0]
cnt=1 s0=fng (1391,1690) [filtered=0]
cnt=1 s0=fng (1392,1688) [filtered=0]
cnt=1 s0=fng (1393,1687) [filtered=0]
