touchpad: x[0..4762] y[0..3099] res=32,32 slots=5
palm: bottom_zone=750 edge_left=190 edge_right=4571 spread=400
virtual device created: ASUF1209 Palm Filtered Touchpad
grabbed source device (exclusive)
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3045,1181) [filtered=0]
cnt=1 s0=fng (3040,1182) [filtered=0]
cnt=1 s0=fng (3031,1184) [filtered=0]
cnt=1 s0=fng (3023,1185) [filtered=0]
cnt=1 s0=fng (3013,1187) [filtered=0]
cnt=1 s0=fng (3002,1190) [filtered=0]
cnt=1 s0=fng (2991,1192) [filtered=0]
cnt=1 s0=fng (2979,1196) [filtered=0]
cnt=1 s0=fng (2967,1200) [filtered=0]
cnt=1 s0=fng (2956,1203) [filtered=0]
cnt=1 s0=fng (2945,1208) [filtered=0]
cnt=1 s0=fng (2934,1214) [filtered=0]
cnt=1 s0=fng (2924,1219) [filtered=0]
cnt=1 s0=fng (2915,1226) [filtered=0]
cnt=1 s0=fng (2905,1233) [filtered=0]
cnt=1 s0=fng (2896,1239) [filtered=0]
cnt=1 s0=fng (2888,1247) [filtered=0]
cnt=1 s0=fng (2881,1257) [filtered=0]
cnt=1 s0=fng (2874,1266) [filtered=0]
cnt=1 s0=fng (2868,1276) [filtered=0]
cnt=1 s0=fng (2862,1286) [filtered=0]
cnt=1 s0=fng (2856,1295) [filtered=0]
cnt=1 s0=fng (2851,1307) [filtered=0]
cnt=1 s0=fng (2847,1319) [filtered=0]
cnt=1 s0=fng (2843,1330) [filtered=0]
cnt=1 s0=fng (2840,1342) [filtered=0]
cnt=1 s0=fng (2838,1355) [filtered=0]
cnt=1 s0=fng (2836,1367) [filtered=0]
cnt=1 s0=fng (2836,1379) [filtered=0]
cnt=1 s0=fng (2836,1392) [filtered=0]
cnt=1 s0=fng (2836,1404) [filtered=0]
cnt=1 s0=fng (2839,1416) [filtered=0]
cnt=1 s0=fng (2843,1429) [filtered=0]
cnt=1 s0=fng (2848,1442) [filtered=0]
cnt=1 s0=fng (2853,1454) [filtered=0]
cnt=1 s0=fng (2859,1467) [filtered=0]
cnt=1 s0=fng (2863,1479) [filtered=0]
cnt=1 s0=fng (2868,1489) [filtered=0]
cnt=1 s0=fng (2874,1499) [filtered=0]
cnt=1 s0=fng (2882,1510) [filtered=0]
cnt=1 s0=fng (2889,1520) [filtered=0]
cnt=1 s0=fng (2897,1530) [filtered=0]
cnt=1 s0=fng (2907,1539) [filtered=0]
cnt=1 s0=fng (2918,1548) [filtered=0]
cnt=1 s0=fng (2928,1556) [filtered=0]
cnt=1 s0=fng (2939,1563) [filtered=0]
cnt=1 s0=fng (2951,1569) [filtered=0]
cnt=1 s0=fng (2963,1573) [filtered=0]
cnt=1 s0=fng (2975,1577) [filtered=0]
cnt=1 s0=fng (2988,1580) [filtered=0]
cnt=1 s0=fng (3001,1581) [filtered=0]
cnt=1 s0=fng (3013,1582) [filtered=0]
cnt=1 s0=fng (3026,1582) [filtered=0]
cnt=1 s0=fng (3038,1582) [filtered=0]
cnt=1 s0=fng (3049,1582) [filtered=0]
cnt=1 s0=fng (3061,1578) [filtered=0]
cnt=1 s0=fng (3072,1575) [filtered=0]
cnt=1 s0=fng (3083,1571) [filtered=0]
cnt=1 s0=fng (3095,1567) [filtered=0]
cnt=1 s0=fng (3106,1563) [filtered=0]
cnt=1 s0=fng (3117,1558) [filtered=0]
cnt=1 s0=fng (3128,1552) [filtered=0]
cnt=1 s0=fng (3138,1546) [filtered=0]
cnt=1 s0=fng (3148,1539) [filtered=0]
cnt=1 s0=fng (3158,1532) [filtered=0]
cnt=1 s0=fng (3167,1524) [filtered=0]
cnt=1 s0=fng (3175,1516) [filtered=0]
cnt=1 s0=fng (3185,1506) [filtered=0]
cnt=1 s0=fng (3194,1496) [filtered=0]
cnt=1 s0=fng (3202,1486) [filtered=0]
cnt=1 s0=fng (3209,1476) [filtered=0]
cnt=1 s0=fng (3215,1466) [filtered=0]
cnt=1 s0=fng (3221,1457) [filtered=0]
cnt=1 s0=fng (3225,1446) [filtered=0]
cnt=1 s0=fng (3228,1435) [filtered=0]
cnt=1 s0=fng (3231,1425) [filtered=0]
cnt=1 s0=fng (3232,1415) [filtered=0]
cnt=1 s0=fng (3232,1404) [filtered=0]
cnt=1 s0=fng (3232,1394) [filtered=0]
cnt=1 s0=fng (3228,1384) [filtered=0]
cnt=1 s0=fng (3222,1374) [filtered=0]
cnt=1 s0=fng (3217,1365) [filtered=0]
cnt=1 s0=fng (3211,1356) [filtered=0]
cnt=1 s0=fng (3203,1348) [filtered=0]
cnt=1 s0=fng (3196,1340) [filtered=0]
cnt=1 s0=fng (3188,1333) [filtered=0]
cnt=1 s0=fng (3179,1327) [filtered=0]
cnt=1 s0=fng (3169,1321) [filtered=0]
cnt=1 s0=fng (3159,1315) [filtered=0]
cnt=1 s0=fng (3147,1310) [filtered=0]
cnt=1 s0=fng (3134,1306) [filtered=0]
cnt=1 s0=fng (3121,1303) [filtered=0]
cnt=1 s0=fng (3108,1300) [filtered=0]
cnt=1 s0=fng (3094,1298) [filtered=0]
cnt=1 s0=fng (3079,1298) [filtered=0]
cnt=1 s0=fng (3065,1298) [filtered=0]
cnt=1 s0=fng (3050,1298) [filtered=0]
cnt=1 s0=fng (3036,1298) [filtered=0]
cnt=1 s0=fng (3024,1301) [filtered=0]
cnt=1 s0=fng (3010,1306) [filtered=0]
cnt=1 s0=fng (2997,1309) [filtered=0]
cnt=1 s0=fng (2984,1311) [filtered=0]
cnt=1 s0=fng (2971,1314) [filtered=0]
cnt=1 s0=fng (2957,1320) [filtered=0]
cnt=1 s0=fng (2943,1325) [filtered=0]
cnt=1 s0=fng (2929,1331) [filtered=0]
cnt=1 s0=fng (2915,1338) [filtered=0]
cnt=1 s0=fng (2902,1348) [filtered=0]
cnt=1 s0=fng (2889,1357) [filtered=0]
cnt=1 s0=fng (2875,1368) [filtered=0]
cnt=1 s0=fng (2861,1378) [filtered=0]
