touchpad: x[0..4762] y[0..3099] res=32,32 slots=5
palm: bottom_zone=1000 edge_left=285 edge_right=4476 spread=400
virtual device created: ASUF1209 Palm Filtered Touchpad
grabbed source device (exclusive)
cnt=1 s0=fng (4762,1638) [filtered=0]
cnt=1 s0=fng (4762,1637) [filtered=0]
cnt=1 s0=fng (4762,1637) [filtered=0]
cnt=1 s0=fng (4762,1637) [filtered=0]
cnt=1 s0=fng (4762,1636) [filtered=0]
cnt=1 s0=fng (4762,1635) [filtered=0]
cnt=1 s0=fng (4762,1635) [filtered=0]
cnt=1 s0=fng (4762,1634) [filtered=0]
cnt=1 s0=fng (4762,1634) [filtered=0]
cnt=1 s0=fng (4762,1634) [filtered=0]
cnt=2 s0=PALM(4762,1633) s1=PALM(14,2154) [filtered=1]
cnt=2 s0=PALM(4762,1631) s1=PALM(14,2154) [filtered=2]
cnt=2 s0=PALM(4762,1630) s1=PALM(14,2154) [filtered=3]
cnt=2 s0=PALM(4762,1629) s1=PALM(14,2154) [filtered=4]
cnt=2 s0=PALM(4762,1628) s1=PALM(15,2153) [filtered=5]
cnt=2 s0=PALM(4762,1627) s1=PALM(16,2152) [filtered=6]
cnt=2 s0=PALM(4760,1626) s1=PALM(18,2151) [filtered=7]
cnt=2 s0=PALM(4759,1625) s1=PALM(19,2151) [filtered=8]
cnt=2 s0=PALM(4757,1625) s1=PALM(20,2150) [filtered=9]
cnt=2 s0=PALM(4754,1624) s1=PALM(22,2148) [filtered=10]
cnt=2 s0=PALM(4751,1623) s1=PALM(25,2146) [filtered=11]
cnt=2 s0=PALM(4749,1623) s1=PALM(26,2145) [filtered=12]
cnt=2 s0=PALM(4746,1623) s1=PALM(28,2144) [filtered=13]
cnt=2 s0=PALM(4743,1623) s1=PALM(31,2142) [filtered=14]
cnt=2 s0=PALM(4738,1622) s1=PALM(34,2140) [filtered=15]
cnt=2 s0=PALM(4732,1622) s1=PALM(37,2139) [filtered=16]
cnt=2 s0=PALM(4727,1622) s1=PALM(39,2138) [filtered=17]
cnt=2 s0=PALM(4722,1621) s1=PALM(43,2137) [filtered=18]
cnt=2 s0=PALM(4717,1620) s1=PALM(47,2136) [filtered=19]
cnt=2 s0=PALM(4712,1620) s1=PALM(51,2135) [filtered=20]
cnt=2 s0=PALM(4707,1620) s1=PALM(54,2135) [filtered=21]
cnt=2 s0=PALM(4702,1619) s1=PALM(57,2134) [filtered=22]
cnt=2 s0=PALM(4697,1619) s1=PALM(62,2134) [filtered=23]
cnt=2 s0=PALM(4692,1618) s1=PALM(67,2133) [filtered=24]
cnt=2 s0=PALM(4686,1617) s1=PALM(72,2132) [filtered=25]
cnt=2 s0=PALM(4682,1616) s1=PALM(76,2132) [filtered=26]
cnt=2 s0=PALM(4678,1615) s1=PALM(80,2132) [filtered=27]
cnt=2 s0=PALM(4674,1614) s1=PALM(89,2131) [filtered=28]
cnt=2 s0=PALM(4671,1614) s1=PALM(97,2130) [filtered=29]
cnt=2 s0=PALM(4668,1613) s1=PALM(107,2129) [filtered=30]
cnt=2 s0=PALM(4666,1612) s1=PALM(117,2128) [filtered=31]
cnt=2 s0=PALM(4663,1612) s1=PALM(127,2127) [filtered=32]
cnt=2 s0=PALM(4661,1611) s1=PALM(135,2126) [filtered=33]
cnt=2 s0=PALM(4660,1611) s1=PALM(142,2125) [filtered=34]
cnt=2 s0=PALM(4658,1611) s1=PALM(150,2124) [filtered=35]
cnt=2 s0=PALM(4657,1611) s1=PALM(158,2123) [filtered=36]
cnt=2 s0=PALM(4655,1611) s1=PALM(164,2121) [filtered=37]
cnt=2 s0=PALM(4654,1611) s1=PALM(169,2119) [filtered=38]
cnt=2 s0=PALM(4654,1611) s1=PALM(173,2118) [filtered=39]
cnt=2 s0=PALM(4654,1611) s1=PALM(177,2116) [filtered=40]
cnt=2 s0=PALM(4654,1611) s1=PALM(182,2114) [filtered=41]
cnt=2 s0=PALM(4654,1611) s1=PALM(187,2111) [filtered=42]
cnt=2 s0=PALM(4654,1611) s1=PALM(191,2110) [filtered=43]
cnt=2 s0=PALM(4654,1611) s1=PALM(195,2108) [filtered=44]
cnt=2 s0=PALM(4654,1611) s1=PALM(200,2106) [filtered=45]
cnt=2 s0=PALM(4654,1611) s1=PALM(205,2103) [filtered=46]
cnt=2 s0=PALM(4654,1611) s1=PALM(209,2102) [filtered=47]
cnt=2 s0=PALM(4654,1611) s1=PALM(213,2100) [filtered=48]
cnt=2 s0=PALM(4654,1611) s1=PALM(218,2097) [filtered=49]
cnt=2 s0=PALM(4654,1611) s1=PALM(223,2094) [filtered=50]
cnt=2 s0=PALM(4654,1611) s1=PALM(227,2093) [filtered=51]
cnt=2 s0=PALM(4654,1611) s1=PALM(231,2091) [filtered=52]
cnt=2 s0=PALM(4654,1611) s1=PALM(236,2088) [filtered=53]
cnt=2 s0=PALM(4654,1611) s1=PALM(241,2085) [filtered=54]
cnt=2 s0=PALM(4654,1611) s1=PALM(245,2084) [filtered=55]
cnt=2 s0=PALM(4653,1611) s1=PALM(250,2081) [filtered=56]
cnt=2 s0=PALM(4652,1611) s1=PALM(255,2078) [filtered=57]
cnt=2 s0=PALM(4651,1611) s1=PALM(260,2075) [filtered=58]
cnt=2 s0=PALM(4651,1611) s1=PALM(264,2073) [filtered=59]
cnt=2 s0=PALM(4650,1611)* s1=PALM(269,2070) [filtered=60]
cnt=2 s0=PALM(4649,1611)* s1=PALM(274,2067) [filtered=61]
cnt=2 s0=PALM(4649,1611)* s1=PALM(278,2065) [filtered=62]
cnt=2 s0=PALM(4648,1611)* s1=PALM(282,2063) [filtered=63]
cnt=2 s0=PALM(4647,1611)* s1=fng (286,2060) [filtered=64]
cnt=2 s0=PALM(4646,1611)* s1=fng (290,2057) [filtered=65]
