touchpad: x[0..4762] y[0..3099] res=32,32 slots=5
palm: bottom_zone=1200 edge_left=476 edge_right=4285 spread=400
virtual device created: ASUF1209 Palm Filtered Touchpad
grabbed source device (exclusive)
cnt=1 s0=fng (4686,1974) [filtered=0]
cnt=1 s0=fng (4686,1974) [filtered=0]
cnt=1 s0=fng (4686,1974) [filtered=0]
cnt=1 s0=fng (4686,1974) [filtered=0]
cnt=1 s0=fng (4686,1974) [filtered=0]
cnt=1 s0=fng (4686,1974) [filtered=0]
cnt=1 s0=fng (4686,1974) [filtered=0]
cnt=1 s0=fng (4686,1975) [filtered=0]
cnt=1 s0=fng (4686,1976) [filtered=0]
cnt=1 s0=fng (4686,1976) [filtered=0]
cnt=1 s0=fng (4686,1976) [filtered=0]
cnt=1 s0=fng (4686,1977) [filtered=0]
cnt=1 s0=fng (4686,1978) [filtered=0]
cnt=1 s0=fng (4686,1978) [filtered=0]
cnt=1 s0=fng (4686,1979) [filtered=0]
cnt=1 s0=fng (4686,1979) [filtered=0]
cnt=1 s0=fng (4686,1980) [filtered=0]
cnt=1 s0=fng (4686,1980) [filtered=0]
cnt=1 s0=fng (4686,1981) [filtered=0]
cnt=1 s0=fng (4686,1981) [filtered=0]
cnt=1 s0=fng (4686,1981)* [filtered=0]
cnt=1 s0=fng (4686,1982)* [filtered=0]
cnt=1 s0=fng (4686,1982)* [filtered=0]
cnt=1 s0=fng (4685,1983)* [filtered=0]
cnt=1 s0=fng (4684,1984)* [filtered=0]
cnt=1 s0=fng (4684,1984)* [filtered=0]
cnt=1 s0=fng (4682,1984)* [filtered=0]
cnt=1 s0=fng (4679,1984)* [filtered=0]
cnt=1 s0=fng (4675,1984) [filtered=0]
cnt=1 s0=fng (4673,1984) [filtered=0]
cnt=1 s0=fng (4669,1984) [filtered=0]
cnt=1 s0=fng (4664,1984) [filtered=0]
cnt=1 s0=fng (4659,1983) [filtered=0]
cnt=1 s0=fng (4654,1982) [filtered=0]
cnt=1 s0=fng (4650,1982) [filtered=0]
cnt=1 s0=fng (4645,1981) [filtered=0]
cnt=1 s0=fng (4639,1980) [filtered=0]
cnt=1 s0=fng (4633,1979) [filtered=0]
cnt=1 s0=fng (4628,1979) [filtered=0]
cnt=1 s0=fng (4622,1978) [filtered=0]
cnt=1 s0=fng (4617,1978) [filtered=0]
cnt=1 s0=fng (4612,1977) [filtered=0]
cnt=1 s0=fng (4608,1977) [filtered=0]
cnt=1 s0=fng (4605,1977) [filtered=0]
cnt=1 s0=fng (4602,1976) [filtered=0]
cnt=1 s0=fng (4600,1976) [filtered=0]
cnt=1 s0=fng (4599,1975) [filtered=0]
cnt=1 s0=fng (4598,1975) [filtered=0]
cnt=1 s0=fng (4597,1975) [filtered=0]
cnt=1 s0=fng (4596,1974) [filtered=0]
cnt=1 s0=fng (4596,1974) [filtered=0]
cnt=1 s0=fng (4595,1973) [filtered=0]
cnt=1 s0=fng (4595,1973) [filtered=0]
cnt=1 s0=fng (4595,1973) [filtered=0]
cnt=1 s0=fng (4594,1972) [filtered=0]
cnt=1 s0=fng (4594,1972) [filtered=0]
cnt=1 s0=fng (4594,1971) [filtered=0]
cnt=1 s0=fng (4594,1971) [filtered=0]
cnt=1 s0=fng (4594,1970) [filtered=0]
cnt=1 s0=fng (4594,1969) [filtered=0]
cnt=1 s0=fng (4594,1968) [filtered=0]
cnt=1 s0=fng (4594,1967) [filtered=0]
cnt=1 s0=fng (4594,1967) [filtered=0]
cnt=1 s0=fng (4594,1966) [filtered=0]
cnt=1 s0=fng (4594,1965)* [filtered=0]
cnt=1 s0=fng (4594,1964)* [filtered=0]
cnt=1 s0=fng (4594,1963)* [filtered=0]
cnt=1 s0=fng (4594,1963)* [filtered=0]
cnt=1 s0=fng (4594,1962)* [filtered=0]
cnt=1 s0=fng (4594,1962)* [filtered=0]
cnt=1 s0=fng (4594,1961)* [filtered=0]
cnt=1 s0=fng (4594,1961)* [filtered=0]
cnt=1 s0=fng (4594,1961)* [filtered=0]
cnt=1 s0=fng (4595,1961)* [filtered=0]
cnt=1 s0=fng (4595,1961)* [filtered=0]
cnt=1 s0=fng (4596,1961)* [filtered=0]
cnt=1 s0=fng (4597,1961)* [filtered=0]
cnt=1 s0=fng (4597,1961)* [filtered=0]
cnt=1 s0=fng (4598,1961)* [filtered=0]
cnt=1 s0=fng (4599,1961)* [filtered=0]
cnt=1 s0=fng (4601,1961)* [filtered=0]
cnt=1 s0=fng (4602,1961)* [filtered=0]
cnt=1 s0=fng (4604,1961)* [filtered=0]
cnt=1 s0=fng (4607,1961)* [filtered=0]
cnt=1 s0=fng (4611,1961) [filtered=0]
cnt=1 s0=fng (4614,1961) [filtered=0]
cnt=1 s0=fng (4616,1961) [filtered=0]
cnt=1 s0=fng (4619,1961) [filtered=0]
cnt=1 s0=fng (4622,1961) [filtered=0]
cnt=1 s0=fng (4625,1961) [filtered=0]
cnt=1 s0=fng (4628,1961) [filtered=0]
cnt=1 s0=fng (4630,1961) [filtered=0]
cnt=1 s0=fng (4632,1961) [filtered=0]
cnt=1 s0=fng (4634,1960) [filtered=0]
cnt=1 s0=fng (4636,1959) [filtered=0]
cnt=1 s0=fng (4638,1958) [filtered=0]
cnt=1 s0=fng (4639,1958) [filtered=0]
cnt=1 s0=fng (4641,1957) [filtered=0]
cnt=1 s0=fng (4643,1956) [filtered=0]
cnt=1 s0=fng (4644,1955) [filtered=0]
cnt=1 s0=fng (4645,1955) [filtered=0]
cnt=1 s0=fng (4646,1954) [filtered=0]
cnt=1 s0=fng (4647,1953) [filtered=0]
cnt=1 s0=fng (4648,1951) [filtered=0]
cnt=1 s0=fng (4649,1950)* [filtered=0]
cnt=1 s0=fng (4650,1949)* [filtered=0]
cnt=1 s0=fng (4651,1948)* [filtered=0]
cnt=1 s0=fng (4651,1947)* [filtered=0]
cnt=1 s0=fng (4652,1946)* [filtered=0]
cnt=1 s0=fng (4652,1945)* [filtered=0]
cnt=1 s0=fng (4652,1944)* [filtered=0]
cnt=1 s0=fng (4652,1943)* [filtered=0]
cnt=1 s0=fng (4652,1942)* [filtered=0]
cnt=1 s0=fng (4652,1941)* [filtered=0]
cnt=1 s0=fng (4652,1941)* [filtered=0]
cnt=1 s0=fng (4652,1940)* [filtered=0]
cnt=1 s0=fng (4652,1939)* [filtered=0]
cnt=1 s0=fng (4652,1938)* [filtered=0]
cnt=1 s0=fng (4652,1937)* [filtered=0]
cnt=1 s0=fng (4652,1936)* [filtered=0]
cnt=1 s0=fng (4651,1935)* [filtered=0]
cnt=1 s0=fng (4650,1934)* [filtered=0]
cnt=1 s0=fng (4649,1933)* [filtered=0]
cnt=1 s0=fng (4648,1932)* [filtered=0]
cnt=1 s0=fng (4647,1932)* [filtered=0]
cnt=1 s0=fng (4645,1931)* [filtered=0]
cnt=1 s0=fng (4643,1930)* [filtered=0]
cnt=1 s0=fng (4641,1929)* [filtered=0]
cnt=1 s0=fng (4639,1928)* [filtered=0]
cnt=1 s0=fng (4638,1928)* [filtered=0]
cnt=1 s0=fng (4636,1928)* [filtered=0]
cnt=1 s0=fng (4634,1927)* [filtered=0]
cnt=1 s0=fng (4632,1927)* [filtered=0]
cnt=1 s0=fng (4631,1927)* [filtered=0]
cnt=1 s0=fng (4629,1926)* [filtered=0]
cnt=1 s0=fng (4627,1925)* [filtered=0]
cnt=1 s0=fng (4625,1925)* [filtered=0]
cnt=1 s0=fng (4623,1924)* [filtered=0]
cnt=1 s0=fng (4622,1924)* [filtered=0]
cnt=1 s0=fng (4619,1924)* [filtered=0]
cnt=1 s0=fng (4617,1923)* [filtered=0]
cnt=1 s0=fng (4615,1923)* [filtered=0]
cnt=1 s0=fng (4612,1922) [filtered=0]
cnt=1 s0=fng (4611,1922) [filtered=0]
cnt=1 s0=fng (4609,1921) [filtered=0]
cnt=1 s0=fng (4607,1921) [filtered=0]
cnt=1 s0=fng (4605,1920) [filtered=0]
cnt=1 s0=fng (4603,1920) [filtered=0]
cnt=1 s0=fng (4602,1920) [filtered=0]
cnt=1 s0=fng (4601,1919) [filtered=0]
cnt=1 s0=fng (4600,1919) [filtered=0]
cnt=1 s0=fng (4598,1918) [filtered=0]
cnt=1 s0=fng (4597,1918) [filtered=0]
cnt=1 s0=fng (4596,1917) [filtered=0]
cnt=1 s0=fng (4595,1917) [filtered=0]
cnt=1 s0=fng (4594,1916) [filtered=0]
cnt=1 s0=fng (4593,1915) [filtered=0]
cnt=1 s0=fng (4593,1915) [filtered=0]
cnt=1 s0=fng (4592,1914) [filtered=0]
cnt=1 s0=fng (4591,1913) [filtered=0]
cnt=1 s0=fng (4590,1912) [filtered=0]
cnt=1 s0=fng (4590,1912) [filtered=0]
cnt=1 s0=fng (4589,1911)* [filtered=0]
cnt=1 s0=fng (4588,1910)* [filtered=0]
cnt=1 s0=fng (4587,1909)* [filtered=0]
cnt=1 s0=fng (4586,1908)* [filtered=0]
cnt=1 s0=fng (4585,1907)* [filtered=0]
cnt=1 s0=fng (4585,1906)* [filtered=0]
cnt=1 s0=fng (4584,1905)* [filtered=0]
cnt=1 s0=fng (4583,1904)* [filtered=0]
cnt=1 s0=fng (4583,1903)* [filtered=0]
cnt=1 s0=fng (4583,1903)* [filtered=0]
cnt=1 s0=fng (4582,1902)* [filtered=0]
cnt=1 s0=fng (4582,1901)* [filtered=0]
cnt=1 s0=fng (4581,1900)* [filtered=0]
cnt=1 s0=fng (4580,1899)* [filtered=0]
cnt=1 s0=fng (4579,1898)* [filtered=0]
cnt=1 s0=fng (4578,1897)* [filtered=0]
cnt=1 s0=fng (4577,1896)* [filtered=0]
cnt=1 s0=fng (4576,1895)* [filtered=0]
cnt=1 s0=fng (4576,1895)* [filtered=0]
cnt=1 s0=fng (4575,1894)* [filtered=0]
cnt=1 s0=fng (4574,1893)* [filtered=0]
cnt=1 s0=fng (4573,1892)* [filtered=0]
cnt=1 s0=fng (4572,1891)* [filtered=0]
cnt=1 s0=fng (4572,1890)* [filtered=0]
cnt=1 s0=fng (4571,1890)* [filtered=0]
cnt=1 s0=fng (4570,1889)* [filtered=0]
cnt=1 s0=fng (4569,1889)* [filtered=0]
cnt=1 s0=fng (4568,1888)* [filtered=0]
cnt=1 s0=fng (4568,1888)* [filtered=0]
cnt=1 s0=fng (4567,1887)* [filtered=0]
cnt=1 s0=fng (4566,1887)* [filtered=0]
cnt=1 s0=fng (4566,1886)* [filtered=0]
cnt=1 s0=fng (4565,1886)* [filtered=0]
cnt=1 s0=fng (4565,1886)* [filtered=0]
cnt=1 s0=fng (4565,1886)* [filtered=0]
cnt=1 s0=fng (4564,1886)* [filtered=0]
cnt=1 s0=fng (4564,1886)* [filtered=0]
cnt=1 s0=fng (4564,1886)* [filtered=0]
cnt=1 s0=fng (4563,1886)* [filtered=0]
cnt=1 s0=fng (4563,1886)* [filtered=0]
cnt=1 s0=fng (4562,1886)* [filtered=0]
cnt=1 s0=fng (4561,1885)* [filtered=0]
cnt=1 s0=fng (4561,1885)* [filtered=0]
cnt=1 s0=fng (4561,1884)* [filtered=0]
cnt=1 s0=fng (4560,1884)* [filtered=0]
cnt=1 s0=fng (4560,1884)* [filtered=0]
cnt=1 s0=fng (4559,1883)* [filtered=0]
cnt=1 s0=fng (4559,1883)* [filtered=0]
cnt=1 s0=fng (4559,1883)* [filtered=0]
cnt=1 s0=fng (4558,1883)* [filtered=0]
cnt=1 s0=fng (4557,1883)* [filtered=0]
cnt=1 s0=fng (4557,1883)* [filtered=0]
cnt=1 s0=fng (4557,1883)* [filtered=0]
cnt=1 s0=fng (4556,1883)* [filtered=0]
cnt=1 s0=fng (4556,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4555,1883)* [filtered=0]
cnt=1 s0=fng (4554,1883)* [filtered=0]
cnt=1 s0=fng (4554,1883)* [filtered=0]
cnt=1 s0=fng (4553,1883)* [filtered=0]
cnt=1 s0=fng (4552,1883)* [filtered=0]
cnt=1 s0=fng (4552,1883)* [filtered=0]
cnt=1 s0=fng (4552,1883)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=1 s0=fng (4551,1882)* [filtered=0]
cnt=2 s0=PALM(4551,1882)* s1=PALM(169,2232) [filtered=1]
cnt=2 s0=PALM(4551,1882)* s1=PALM(169,2232) [filtered=2]
cnt=2 s0=PALM(4551,1882)* s1=PALM(169,2232) [filtered=3]
cnt=2 s0=PALM(4551,1882)* s1=PALM(169,2232) [filtered=4]
cnt=2 s0=PALM(4551,1882)* s1=PALM(169,2232) [filtered=5]
cnt=2 s0=PALM(4551,1882)* s1=PALM(169,2232) [filtered=6]
cnt=2 s0=PALM(4551,1882)* s1=PALM(169,2232) [filtered=7]
cnt=2 s0=PALM(4551,1882)* s1=PALM(170,2232) [filtered=8]
cnt=2 s0=PALM(4551,1882)* s1=PALM(170,2232) [filtered=9]
cnt=2 s0=PALM(4551,1882)* s1=PALM(170,2232) [filtered=10]
cnt=2 s0=PALM(4551,1882)* s1=PALM(170,2232) [filtered=11]
cnt=2 s0=PALM(4551,1882)* s1=PALM(171,2231) [filtered=12]
cnt=2 s0=PALM(4551,1882)* s1=PALM(171,2231) [filtered=13]
cnt=2 s0=PALM(4551,1882)* s1=PALM(171,2230) [filtered=14]
cnt=2 s0=PALM(4551,1882)* s1=PALM(172,2230) [filtered=15]
cnt=2 s0=PALM(4551,1882)* s1=PALM(172,2229) [filtered=16]
cnt=2 s0=PALM(4551,1882)* s1=PALM(173,2229) [filtered=17]
cnt=2 s0=PALM(4551,1882)* s1=PALM(173,2229) [filtered=18]
cnt=2 s0=PALM(4551,1882)* s1=PALM(173,2228) [filtered=19]
cnt=2 s0=PALM(4551,1882)* s1=PALM(173,2227) [filtered=20]
cnt=2 s0=PALM(4551,1882)* s1=PALM(173,2227)* [filtered=21]
cnt=2 s0=PALM(4551,1882)* s1=PALM(173,2226)* [filtered=22]
cnt=2 s0=PALM(4551,1882)* s1=PALM(173,2226)* [filtered=23]
cnt=2 s0=PALM(4551,1882)* s1=PALM(173,2226)* [filtered=24]
cnt=2 s0=PALM(4551,1882)* s1=PALM(174,2225)* [filtered=25]
cnt=2 s0=PALM(4551,1882)* s1=PALM(174,2225)* [filtered=26]
cnt=2 s0=PALM(4551,1882)* s1=PALM(174,2225)* [filtered=27]
cnt=2 s0=PALM(4551,1882)* s1=PALM(175,2224)* [filtered=28]
cnt=2 s0=PALM(4551,1882)* s1=PALM(175,2223)* [filtered=29]
cnt=2 s0=PALM(4551,1882)* s1=PALM(176,2223)* [filtered=30]
cnt=2 s0=PALM(4551,1882)* s1=PALM(176,2222)* [filtered=31]
cnt=2 s0=PALM(4551,1882)* s1=PALM(176,2222)* [filtered=32]
cnt=2 s0=PALM(4551,1882)* s1=PALM(177,2221)* [filtered=33]
cnt=2 s0=PALM(4551,1882)* s1=PALM(178,2220)* [filtered=34]
cnt=2 s0=PALM(4551,1882)* s1=PALM(178,2219)* [filtered=35]
cnt=2 s0=PALM(4551,1882)* s1=PALM(179,2218)* [filtered=36]
cnt=2 s0=PALM(4551,1882)* s1=PALM(179,2218)* [filtered=37]
cnt=2 s0=PALM(4551,1882)* s1=PALM(179,2217)* [filtered=38]
cnt=2 s0=PALM(4550,1882)* s1=PALM(180,2216)* [filtered=39]
cnt=2 s0=PALM(4550,1882)* s1=PALM(181,2215)* [filtered=40]
cnt=2 s0=PALM(4550,1882)* s1=PALM(181,2214)* [filtered=41]
cnt=2 s0=PALM(4549,1881)* s1=PALM(182,2213)* [filtered=42]
cnt=2 s0=PALM(4548,1880)* s1=PALM(183,2212)* [filtered=43]
cnt=2 s0=PALM(4548,1880)* s1=PALM(184,2211)* [filtered=44]
cnt=2 s0=PALM(4547,1879)* s1=PALM(185,2209)* [filtered=45]
cnt=2 s0=PALM(4547,1879)* s1=PALM(186,2208)* [filtered=46]
cnt=2 s0=PALM(4546,1879)* s1=PALM(187,2207)* [filtered=47]
cnt=2 s0=PALM(4545,1878)* s1=PALM(188,2206)* [filtered=48]
cnt=2 s0=PALM(4544,1878)* s1=PALM(189,2204)* [filtered=49]
cnt=2 s0=PALM(4543,1877)* s1=PALM(190,2203)* [filtered=50]
cnt=2 s0=PALM(4543,1877)* s1=PALM(190,2202)* [filtered=51]
cnt=2 s0=PALM(4542,1876)* s1=PALM(191,2201)* [filtered=52]
cnt=2 s0=PALM(4541,1876)* s1=PALM(192,2199)* [filtered=53]
cnt=2 s0=PALM(4540,1876)* s1=PALM(193,2197)* [filtered=54]
cnt=2 s0=PALM(4539,1876)* s1=PALM(193,2196)* [filtered=55]
cnt=2 s0=PALM(4538,1876)* s1=PALM(194,2195)* [filtered=56]
cnt=2 s0=PALM(4537,1876)* s1=PALM(195,2194)* [filtered=57]
cnt=2 s0=PALM(4536,1876)* s1=PALM(196,2193)* [filtered=58]
cnt=2 s0=PALM(4534,1876)* s1=PALM(197,2192)* [filtered=59]
cnt=2 s0=PALM(4533,1876)* s1=PALM(198,2191)* [filtered=60]
cnt=2 s0=PALM(4532,1876)* s1=PALM(199,2190)* [filtered=61]
cnt=2 s0=PALM(4531,1876)* s1=PALM(200,2189)* [filtered=62]
cnt=2 s0=PALM(4530,1876)* s1=PALM(200,2189)* [filtered=63]
cnt=2 s0=PALM(4529,1876)* s1=PALM(201,2188)* [filtered=64]
cnt=2 s0=PALM(4527,1876)* s1=PALM(202,2187)* [filtered=65]
cnt=2 s0=PALM(4526,1876)* s1=PALM(203,2186)* [filtered=66]
cnt=2 s0=PALM(4525,1876)* s1=PALM(204,2186)* [filtered=67]
cnt=2 s0=PALM(4523,1876)* s1=PALM(205,2185)* [filtered=68]
cnt=2 s0=PALM(4521,1876)* s1=PALM(206,2185)* [filtered=69]
cnt=2 s0=PALM(4519,1876)* s1=PALM(208,2184)* [filtered=70]
cnt=2 s0=PALM(4518,1876)* s1=PALM(209,2184)* [filtered=71]
cnt=2 s0=PALM(4516,1876)* s1=PALM(210,2183)* [filtered=72]
cnt=2 s0=PALM(4514,1876)* s1=PALM(212,2182)* [filtered=73]
cnt=2 s0=PALM(4511,1876)* s1=PALM(214,2181)* [filtered=74]
cnt=2 s0=PALM(4510,1876)* s1=PALM(215,2181)* [filtered=75]
cnt=2 s0=PALM(4508,1876)* s1=PALM(217,2180)* [filtered=76]
cnt=2 s0=PALM(4505,1876)* s1=PALM(220,2178) [filtered=77]
cnt=2 s0=PALM(4501,1876) s1=PALM(224,2176) [filtered=78]
cnt=2 s0=PALM(4498,1876) s1=PALM(227,2175) [filtered=79]
cnt=2 s0=PALM(4494,1876) s1=PALM(231,2172) [filtered=80]
cnt=2 s0=PALM(4490,1876) s1=PALM(236,2168) [filtered=81]
cnt=2 s0=PALM(4486,1876) s1=PALM(244,2164) [filtered=82]
cnt=2 s0=PALM(4483,1876) s1=PALM(251,2161) [filtered=83]
cnt=2 s0=PALM(4479,1876) s1=PALM(258,2157) [filtered=84]
cnt=2 s0=PALM(4474,1876) s1=PALM(265,2153) [filtered=85]
cnt=2 s0=PALM(4469,1876) s1=PALM(272,2149) [filtered=86]
cnt=2 s0=PALM(4464,1876) s1=PALM(279,2145) [filtered=87]
cnt=2 s0=PALM(4458,1876) s1=PALM(286,2141) [filtered=88]
cnt=2 s0=PALM(4451,1875) s1=PALM(293,2137) [filtered=89]
cnt=2 s0=PALM(4445,1875) s1=PALM(299,2134) [filtered=90]
cnt=2 s0=PALM(4438,1875) s1=PALM(305,2131) [filtered=91]
cnt=2 s0=PALM(4430,1874) s1=PALM(312,2129) [filtered=92]
cnt=2 s0=PALM(4423,1874) s1=PALM(318,2127) [filtered=93]
cnt=2 s0=PALM(4414,1874) s1=PALM(324,2125) [filtered=94]
cnt=2 s0=PALM(4406,1874) s1=PALM(330,2123) [filtered=95]
cnt=2 s0=PALM(4399,1874) s1=PALM(335,2122) [filtered=96]
cnt=2 s0=PALM(4392,1874) s1=PALM(340,2123) [filtered=97]
