touchpad: x[0..4762] y[0..3099] res=32,32 slots=5
palm: bottom_zone=1200 edge_left=476 edge_right=4285 spread=400
virtual device created: ASUF1209 Palm Filtered Touchpad
grabbed source device (exclusive)
cnt=1 s0=fng (4695,1807) [filtered=0]
cnt=1 s0=fng (4695,1806) [filtered=0]
cnt=1 s0=fng (4695,1806) [filtered=0]
cnt=1 s0=fng (4695,1806) [filtered=0]
cnt=1 s0=fng (4694,1805) [filtered=0]
cnt=1 s0=fng (4693,1804) [filtered=0]
cnt=1 s0=fng (4692,1802) [filtered=0]
cnt=1 s0=fng (4690,1801) [filtered=0]
cnt=1 s0=fng (4689,1800) [filtered=0]
cnt=1 s0=fng (4688,1799) [filtered=0]
cnt=1 s0=fng (4686,1797) [filtered=0]
cnt=1 s0=fng (4684,1796) [filtered=0]
cnt=1 s0=fng (4682,1794) [filtered=0]
cnt=1 s0=fng (4681,1793) [filtered=0]
cnt=1 s0=fng (4679,1792) [filtered=0]
cnt=1 s0=fng (4677,1790) [filtered=0]
cnt=1 s0=fng (4676,1789) [filtered=0]
cnt=1 s0=fng (4675,1788) [filtered=0]
cnt=1 s0=fng (4674,1787) [filtered=0]
cnt=1 s0=fng (4673,1786) [filtered=0]
cnt=1 s0=fng (4672,1785) [filtered=0]
cnt=1 s0=fng (4671,1784) [filtered=0]
cnt=1 s0=fng (4670,1783) [filtered=0]
cnt=1 s0=fng (4669,1782) [filtered=0]
cnt=1 s0=fng (4668,1781) [filtered=0]
cnt=1 s0=fng (4666,1779) [filtered=0]
cnt=1 s0=fng (4664,1777) [filtered=0]
cnt=1 s0=fng (4663,1776) [filtered=0]
cnt=1 s0=fng (4661,1775) [filtered=0]
cnt=1 s0=fng (4659,1773) [filtered=0]
cnt=1 s0=fng (4658,1771) [filtered=0]
cnt=1 s0=fng (4657,1770) [filtered=0]
cnt=1 s0=fng (4655,1769) [filtered=0]
cnt=1 s0=fng (4654,1768) [filtered=0]
cnt=1 s0=fng (4653,1766) [filtered=0]
cnt=1 s0=fng (4652,1764) [filtered=0]
cnt=1 s0=fng (4651,1763) [filtered=0]
cnt=1 s0=fng (4650,1762) [filtered=0]
cnt=1 s0=fng (4648,1761) [filtered=0]
cnt=1 s0=fng (4646,1759) [filtered=0]
cnt=1 s0=fng (4644,1758) [filtered=0]
cnt=1 s0=fng (4643,1757) [filtered=0]
cnt=1 s0=fng (4642,1756) [filtered=0]
cnt=1 s0=fng (4641,1754) [filtered=0]
cnt=1 s0=fng (4640,1752) [filtered=0]
cnt=1 s0=fng (4640,1751) [filtered=0]
cnt=1 s0=fng (4639,1750) [filtered=0]
cnt=1 s0=fng (4638,1749) [filtered=0]
cnt=1 s0=fng (4637,1748) [filtered=0]
cnt=1 s0=fng (4637,1747) [filtered=0]
cnt=1 s0=fng (4637,1746) [filtered=0]
cnt=1 s0=fng (4637,1746) [filtered=0]
cnt=1 s0=fng (4637,1745) [filtered=0]
cnt=1 s0=fng (4637,1745) [filtered=0]
cnt=1 s0=fng (4637,1745) [filtered=0]
cnt=1 s0=fng (4637,1745) [filtered=0]
cnt=1 s0=fng (4637,1745) [filtered=0]
cnt=1 s0=fng (4637,1745) [filtered=0]
cnt=1 s0=fng (4637,1745) [filtered=0]
cnt=1 s0=fng (4637,1745)* [filtered=0]
cnt=1 s0=fng (4637,1745)* [filtered=0]
cnt=1 s0=fng (4637,1745)* [filtered=0]
cnt=1 s0=fng (4637,1745)* [filtered=0]
cnt=1 s0=fng (4637,1745)* [filtered=0]
cnt=1 s0=fng (4637,1745)* [filtered=0]
cnt=1 s0=fng (4637,1745)* [filtered=0]
cnt=1 s0=fng (4637,1745)* [filtered=0]
cnt=1 s0=fng (4636,1745)* [filtered=0]
cnt=1 s0=fng (4635,1744)* [filtered=0]
cnt=1 s0=fng (4635,1744)* [filtered=0]
cnt=1 s0=fng (4634,1744)* [filtered=0]
cnt=1 s0=fng (4633,1743)* [filtered=0]
cnt=1 s0=fng (4632,1743)* [filtered=0]
cnt=1 s0=fng (4631,1742)* [filtered=0]
cnt=1 s0=fng (4630,1742)* [filtered=0]
cnt=1 s0=fng (4628,1741)* [filtered=0]
cnt=1 s0=fng (4626,1740)* [filtered=0]
cnt=1 s0=fng (4624,1739)* [filtered=0]
cnt=1 s0=fng (4623,1739)* [filtered=0]
cnt=1 s0=fng (4622,1738)* [filtered=0]
cnt=1 s0=fng (4620,1737)* [filtered=0]
cnt=1 s0=fng (4618,1736)* [filtered=0]
cnt=1 s0=fng (4616,1735)* [filtered=0]
cnt=1 s0=fng (4615,1735)* [filtered=0]
cnt=1 s0=fng (4613,1735)* [filtered=0]
cnt=1 s0=fng (4611,1734)* [filtered=0]
cnt=1 s0=fng (4609,1733)* [filtered=0]
cnt=1 s0=fng (4608,1733)* [filtered=0]
cnt=1 s0=fng (4606,1733)* [filtered=0]
cnt=1 s0=fng (4604,1732)* [filtered=0]
cnt=1 s0=fng (4602,1732)* [filtered=0]
cnt=1 s0=fng (4601,1731)* [filtered=0]
cnt=1 s0=fng (4600,1731)* [filtered=0]
cnt=1 s0=fng (4599,1731)* [filtered=0]
cnt=1 s0=fng (4599,1730)* [filtered=0]
cnt=1 s0=fng (4598,1729)* [filtered=0]
cnt=1 s0=fng (4597,1729)* [filtered=0]
cnt=1 s0=fng (4597,1729)* [filtered=0]
cnt=1 s0=fng (4597,1728)* [filtered=0]
cnt=1 s0=fng (4596,1728)* [filtered=0]
cnt=1 s0=fng (4596,1727)* [filtered=0]
cnt=1 s0=fng (4596,1727)* [filtered=0]
cnt=1 s0=fng (4595,1727)* [filtered=0]
cnt=1 s0=fng (4595,1726)* [filtered=0]
cnt=2 s0=PALM(4594,1725)* s1=PALM(46,2046) [filtered=1]
cnt=2 s0=PALM(4593,1724)* s1=PALM(46,2046) [filtered=2]
cnt=2 s0=PALM(4593,1724)* s1=PALM(46,2046) [filtered=3]
cnt=2 s0=PALM(4592,1724)* s1=PALM(46,2047) [filtered=4]
cnt=2 s0=PALM(4591,1723)* s1=PALM(46,2048) [filtered=5]
cnt=2 s0=PALM(4591,1723)* s1=PALM(46,2049) [filtered=6]
cnt=2 s0=PALM(4591,1723)* s1=PALM(46,2049) [filtered=7]
cnt=2 s0=PALM(4590,1723)* s1=PALM(46,2050) [filtered=8]
cnt=2 s0=PALM(4590,1723)* s1=PALM(46,2051) [filtered=9]
cnt=2 s0=PALM(4589,1723)* s1=PALM(46,2052) [filtered=10]
cnt=2 s0=PALM(4589,1723)* s1=PALM(46,2052) [filtered=11]
cnt=2 s0=PALM(4589,1723)* s1=PALM(46,2052) [filtered=12]
cnt=2 s0=PALM(4589,1723)* s1=PALM(46,2053) [filtered=13]
cnt=2 s0=PALM(4589,1723)* s1=PALM(46,2054) [filtered=14]
cnt=2 s0=PALM(4589,1723)* s1=PALM(46,2055) [filtered=15]
cnt=2 s0=PALM(4589,1723)* s1=PALM(46,2056) [filtered=16]
cnt=2 s0=PALM(4589,1723)* s1=PALM(46,2056) [filtered=17]
cnt=2 s0=PALM(4589,1723)* s1=PALM(46,2057) [filtered=18]
cnt=2 s0=PALM(4589,1723)* s1=PALM(46,2058) [filtered=19]
cnt=2 s0=PALM(4589,1723)* s1=PALM(46,2059) [filtered=20]
cnt=2 s0=PALM(4589,1723)* s1=PALM(46,2060)* [filtered=21]
cnt=2 s0=PALM(4589,1724)* s1=PALM(45,2061)* [filtered=22]
cnt=2 s0=PALM(4589,1724)* s1=PALM(44,2062)* [filtered=23]
cnt=2 s0=PALM(4589,1725)* s1=PALM(43,2063)* [filtered=24]
cnt=2 s0=PALM(4590,1725)* s1=PALM(42,2064)* [filtered=25]
cnt=2 s0=PALM(4590,1725)* s1=PALM(41,2064)* [filtered=26]
cnt=2 s0=PALM(4590,1726)* s1=PALM(40,2065)* [filtered=27]
cnt=2 s0=PALM(4591,1727)* s1=PALM(39,2066)* [filtered=28]
cnt=2 s0=PALM(4591,1728)* s1=PALM(38,2068)* [filtered=29]
cnt=2 s0=PALM(4592,1729)* s1=PALM(37,2069)* [filtered=30]
cnt=2 s0=PALM(4592,1729)* s1=PALM(36,2070)* [filtered=31]
cnt=2 s0=PALM(4592,1730)* s1=PALM(35,2071)* [filtered=32]
cnt=2 s0=PALM(4593,1731)* s1=PALM(34,2072)* [filtered=33]
cnt=2 s0=PALM(4593,1731)* s1=PALM(33,2072)* [filtered=34]
cnt=2 s0=PALM(4593,1732)* s1=PALM(32,2073)* [filtered=35]
cnt=2 s0=PALM(4593,1732)* s1=PALM(31,2074)* [filtered=36]
cnt=2 s0=PALM(4593,1732)* s1=PALM(31,2075)* [filtered=37]
cnt=2 s0=PALM(4593,1732)* s1=PALM(30,2076)* [filtered=38]
cnt=2 s0=PALM(4593,1732)* s1=PALM(30,2076)* [filtered=39]
cnt=2 s0=PALM(4593,1732)* s1=PALM(30,2076)* [filtered=40]
cnt=2 s0=PALM(4593,1732)* s1=PALM(30,2077)* [filtered=41]
cnt=2 s0=PALM(4593,1732)* s1=PALM(30,2078)* [filtered=42]
cnt=2 s0=PALM(4593,1732)* s1=PALM(30,2080)* [filtered=43]
cnt=2 s0=PALM(4593,1732)* s1=PALM(30,2082)* [filtered=44]
cnt=2 s0=PALM(4593,1732)* s1=PALM(30,2083)* [filtered=45]
cnt=2 s0=PALM(4593,1732)* s1=PALM(30,2084)* [filtered=46]
cnt=2 s0=PALM(4593,1732)* s1=PALM(30,2085)* [filtered=47]
cnt=2 s0=PALM(4593,1732)* s1=PALM(30,2086)* [filtered=48]
cnt=2 s0=PALM(4593,1732)* s1=PALM(30,2087)* [filtered=49]
cnt=2 s0=PALM(4593,1732)* s1=PALM(31,2088)* [filtered=50]
cnt=2 s0=PALM(4593,1733)* s1=PALM(32,2089)* [filtered=51]
cnt=2 s0=PALM(4594,1733)* s1=PALM(35,2090) [filtered=52]
cnt=2 s0=PALM(4594,1734)* s1=PALM(38,2090) [filtered=53]
cnt=2 s0=PALM(4594,1735)* s1=PALM(40,2090) [filtered=54]
cnt=2 s0=PALM(4594,1735)* s1=PALM(44,2091) [filtered=55]
cnt=2 s0=PALM(4594,1736)* s1=PALM(48,2091) [filtered=56]
cnt=2 s0=PALM(4594,1736)* s1=PALM(53,2091) [filtered=57]
cnt=2 s0=PALM(4594,1736)* s1=PALM(58,2091) [filtered=58]
cnt=2 s0=PALM(4594,1736)* s1=PALM(63,2091) [filtered=59]
cnt=2 s0=PALM(4594,1736)* s1=PALM(68,2090) [filtered=60]
cnt=2 s0=PALM(4593,1735)* s1=PALM(73,2089) [filtered=61]
cnt=2 s0=PALM(4592,1734)* s1=PALM(78,2088) [filtered=62]
cnt=2 s0=PALM(4592,1733)* s1=PALM(83,2088) [filtered=63]
cnt=2 s0=PALM(4591,1732)* s1=PALM(88,2087) [filtered=64]
cnt=2 s0=PALM(4589,1730) s1=PALM(93,2086) [filtered=65]
cnt=2 s0=PALM(4587,1727) s1=PALM(98,2085) [filtered=66]
cnt=2 s0=PALM(4586,1726) s1=PALM(103,2084) [filtered=67]
cnt=2 s0=PALM(4584,1724) s1=PALM(108,2083) [filtered=68]
cnt=2 s0=PALM(4583,1722) s1=PALM(113,2082) [filtered=69]
cnt=2 s0=PALM(4582,1720) s1=PALM(117,2081) [filtered=70]
cnt=2 s0=PALM(4581,1719) s1=PALM(120,2080) [filtered=71]
cnt=2 s0=PALM(4580,1718) s1=PALM(122,2079) [filtered=72]
cnt=2 s0=PALM(4579,1717) s1=PALM(125,2078) [filtered=73]
cnt=2 s0=PALM(4578,1715) s1=PALM(127,2077) [filtered=74]
cnt=2 s0=PALM(4577,1713) s1=PALM(129,2076) [filtered=75]
cnt=2 s0=PALM(4577,1712) s1=PALM(130,2076) [filtered=76]
cnt=2 s0=PALM(4577,1711) s1=PALM(133,2075) [filtered=77]
cnt=2 s0=PALM(4576,1710) s1=PALM(136,2075) [filtered=78]
cnt=2 s0=PALM(4576,1709) s1=PALM(138,2074) [filtered=79]
cnt=2 s0=PALM(4576,1708) s1=PALM(139,2074) [filtered=80]
cnt=2 s0=PALM(4575,1707) s1=PALM(141,2074) [filtered=81]
cnt=2 s0=PALM(4575,1706) s1=PALM(143,2073) [filtered=82]
cnt=2 s0=PALM(4574,1705) s1=PALM(145,2072) [filtered=83]
cnt=2 s0=PALM(4574,1704) s1=PALM(147,2072) [filtered=84]
cnt=2 s0=PALM(4574,1703) s1=PALM(148,2072) [filtered=85]
cnt=2 s0=PALM(4573,1702) s1=PALM(150,2072) [filtered=86]
cnt=2 s0=PALM(4573,1701) s1=PALM(152,2072) [filtered=87]
cnt=2 s0=PALM(4572,1700)* s1=PALM(154,2072) [filtered=88]
cnt=2 s0=PALM(4572,1699)* s1=PALM(155,2072) [filtered=89]
cnt=2 s0=PALM(4571,1698)* s1=PALM(157,2072) [filtered=90]
cnt=2 s0=PALM(4570,1697)* s1=PALM(159,2072) [filtered=91]
cnt=2 s0=PALM(4569,1696)* s1=PALM(161,2072) [filtered=92]
cnt=2 s0=PALM(4568,1695)* s1=PALM(163,2072) [filtered=93]
cnt=2 s0=PALM(4567,1695)* s1=PALM(164,2072) [filtered=94]
cnt=2 s0=PALM(4566,1694)* s1=PALM(165,2072) [filtered=95]
cnt=2 s0=PALM(4565,1692)* s1=PALM(166,2072) [filtered=96]
cnt=2 s0=PALM(4563,1691)* s1=PALM(168,2072)* [filtered=97]
cnt=2 s0=PALM(4562,1690)* s1=PALM(169,2072)* [filtered=98]
cnt=2 s0=PALM(4561,1689)* s1=PALM(170,2072)* [filtered=99]
cnt=2 s0=PALM(4559,1688)* s1=PALM(171,2072)* [filtered=100]
cnt=2 s0=PALM(4557,1686) s1=PALM(172,2072)* [filtered=101]
cnt=2 s0=PALM(4556,1685) s1=PALM(173,2072)* [filtered=102]
cnt=2 s0=PALM(4554,1684) s1=PALM(174,2072)* [filtered=103]
cnt=2 s0=PALM(4552,1683) s1=PALM(175,2072)* [filtered=104]
cnt=2 s0=PALM(4550,1681) s1=PALM(176,2072)* [filtered=105]
cnt=2 s0=PALM(4548,1679) s1=PALM(177,2072)* [filtered=106]
cnt=2 s0=PALM(4547,1678) s1=PALM(177,2072)* [filtered=107]
cnt=2 s0=PALM(4546,1677) s1=PALM(178,2072)* [filtered=108]
cnt=2 s0=PALM(4544,1676) s1=PALM(179,2072)* [filtered=109]
cnt=2 s0=PALM(4543,1674) s1=PALM(180,2072)* [filtered=110]
cnt=2 s0=PALM(4541,1672) s1=PALM(181,2072)* [filtered=111]
cnt=2 s0=PALM(4540,1671) s1=PALM(182,2072)* [filtered=112]
