touchpad: x[0..4762] y[0..3099] res=32,32 slots=5
palm: bottom_zone=1200 edge_left=476 edge_right=4285 spread=400
virtual device created: ASUF1209 Palm Filtered Touchpad
grabbed source device (exclusive)
cnt=1 s0=fng (4657,1496) [filtered=0]
cnt=1 s0=fng (4657,1496) [filtered=0]
cnt=1 s0=fng (4657,1496) [filtered=0]
cnt=1 s0=fng (4657,1496) [filtered=0]
cnt=1 s0=fng (4657,1496) [filtered=0]
cnt=1 s0=fng (4657,1496) [filtered=0]
cnt=1 s0=fng (4657,1495) [filtered=0]
cnt=1 s0=fng (4657,1495) [filtered=0]
cnt=1 s0=fng (4657,1495) [filtered=0]
cnt=1 s0=fng (4656,1495) [filtered=0]
cnt=1 s0=fng (4655,1494) [filtered=0]
cnt=1 s0=fng (4654,1494) [filtered=0]
cnt=1 s0=fng (4653,1494) [filtered=0]
cnt=1 s0=fng (4652,1493) [filtered=0]
cnt=1 s0=fng (4652,1493) [filtered=0]
cnt=1 s0=fng (4652,1492) [filtered=0]
cnt=1 s0=fng (4652,1491) [filtered=0]
cnt=1 s0=fng (4652,1491) [filtered=0]
cnt=1 s0=fng (4652,1490) [filtered=0]
cnt=1 s0=fng (4652,1489) [filtered=0]
cnt=1 s0=fng (4652,1488)* [filtered=0]
cnt=1 s0=fng (4652,1487)* [filtered=0]
cnt=1 s0=fng (4652,1487)* [filtered=0]
cnt=1 s0=fng (4652,1486)* [filtered=0]
cnt=1 s0=fng (4652,1486)* [filtered=0]
cnt=1 s0=fng (4652,1485)* [filtered=0]
cnt=1 s0=fng (4652,1485)* [filtered=0]
cnt=1 s0=fng (4652,1484)* [filtered=0]
cnt=1 s0=fng (4652,1484)* [filtered=0]
cnt=1 s0=fng (4652,1485)* [filtered=0]
cnt=1 s0=fng (4652,1486)* [filtered=0]
cnt=1 s0=fng (4652,1486)* [filtered=0]
cnt=1 s0=fng (4653,1487)* [filtered=0]
cnt=1 s0=fng (4654,1488)* [filtered=0]
cnt=1 s0=fng (4655,1489)* [filtered=0]
cnt=1 s0=fng (4656,1491)* [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29) [filtered=0]
cnt=1 s0=fng (973,29)* [filtered=0]
cnt=1 s0=fng (676,1529) [filtered=0]
cnt=1 s0=fng (676,1530) [filtered=0]
cnt=1 s0=fng (676,1531) [filtered=0]
cnt=1 s0=fng (676,1532) [filtered=0]
cnt=1 s0=fng (677,1535) [filtered=0]
cnt=1 s0=fng (679,1542) [filtered=0]
cnt=1 s0=fng (682,1552) [filtered=0]
cnt=1 s0=fng (683,1562) [filtered=0]
cnt=1 s0=fng (687,1576) [filtered=0]
cnt=1 s0=fng (692,1596) [filtered=0]
cnt=1 s0=fng (698,1621) [filtered=0]
cnt=1 s0=fng (707,1652) [filtered=0]
cnt=1 s0=fng (715,1682) [filtered=0]
cnt=1 s0=fng (724,1717) [filtered=0]
cnt=1 s0=fng (733,1754) [filtered=0]
cnt=1 s0=fng (742,1787) [filtered=0]
cnt=1 s0=fng (750,1817) [filtered=0]
cnt=1 s0=fng (757,1846) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2854) [filtered=0]
cnt=1 s0=fng (1041,2853) [filtered=0]
cnt=1 s0=fng (1041,2852) [filtered=0]
cnt=1 s0=fng (1041,2852) [filtered=0]
cnt=1 s0=fng (1041,2852)* [filtered=0]
cnt=1 s0=fng (1041,2851)* [filtered=0]
cnt=1 s0=fng (1041,2851)* [filtered=0]
cnt=1 s0=fng (1041,2850)* [filtered=0]
cnt=1 s0=fng (1041,2849)* [filtered=0]
cnt=1 s0=fng (1041,2849)* [filtered=0]
cnt=1 s0=fng (1041,2849)* [filtered=0]
cnt=1 s0=fng (1040,2849)* [filtered=0]
cnt=1 s0=fng (1039,2848)* [filtered=0]
cnt=1 s0=fng (1039,2848)* [filtered=0]
cnt=1 s0=fng (1039,2848)* [filtered=0]
cnt=1 s0=fng (1038,2847)* [filtered=0]
cnt=1 s0=fng (1038,2847)* [filtered=0]
cnt=1 s0=fng (1037,2846)* [filtered=0]
cnt=1 s0=fng (1037,2846)* [filtered=0]
cnt=1 s0=fng (1037,2845)* [filtered=0]
cnt=1 s0=fng (1036,2845)* [filtered=0]
cnt=1 s0=fng (1035,2844)* [filtered=0]
cnt=1 s0=fng (1034,2844)* [filtered=0]
cnt=1 s0=fng (1034,2844)* [filtered=0]
cnt=1 s0=fng (1033,2843)* [filtered=0]
cnt=1 s0=fng (1032,2843)* [filtered=0]
cnt=1 s0=fng (1031,2843)* [filtered=0]
cnt=1 s0=fng (1030,2843)* [filtered=0]
cnt=1 s0=fng (1030,2843)* [filtered=0]
cnt=1 s0=fng (1029,2843)* [filtered=0]
cnt=1 s0=fng (1028,2843)* [filtered=0]
cnt=1 s0=fng (1028,2843)* [filtered=0]
cnt=1 s0=fng (1028,2843)* [filtered=0]
cnt=1 s0=fng (1027,2843)* [filtered=0]
cnt=1 s0=fng (1027,2843)* [filtered=0]
cnt=1 s0=fng (1026,2843)* [filtered=0]
cnt=1 s0=fng (1025,2843)* [filtered=0]
cnt=1 s0=fng (1025,2843)* [filtered=0]
cnt=1 s0=fng (1025,2843)* [filtered=0]
cnt=1 s0=fng (1024,2843)* [filtered=0]
cnt=1 s0=fng (1024,2843)* [filtered=0]
cnt=1 s0=fng (1023,2843)* [filtered=0]
cnt=1 s0=fng (1023,2843)* [filtered=0]
cnt=1 s0=fng (1023,2843)* [filtered=0]
cnt=1 s0=fng (1022,2843)* [filtered=0]
cnt=1 s0=fng (1021,2843)* [filtered=0]
cnt=1 s0=fng (1021,2844)* [filtered=0]
cnt=1 s0=fng (1021,2844)* [filtered=0]
cnt=1 s0=fng (1020,2844)* [filtered=0]
cnt=1 s0=fng (1019,2845)* [filtered=0]
cnt=1 s0=fng (1018,2846)* [filtered=0]
cnt=1 s0=fng (1018,2847)* [filtered=0]
cnt=1 s0=fng (1017,2848)* [filtered=0]
cnt=1 s0=fng (1015,2849)* [filtered=0]
cnt=1 s0=fng (1013,2851) [filtered=0]
cnt=1 s0=fng (1011,2853) [filtered=0]
cnt=1 s0=fng (1010,2854) [filtered=0]
cnt=1 s0=fng (1009,2855) [filtered=0]
cnt=1 s0=fng (1007,2857) [filtered=0]
cnt=1 s0=fng (1005,2859) [filtered=0]
cnt=1 s0=fng (1003,2861) [filtered=0]
cnt=1 s0=fng (1002,2862) [filtered=0]
cnt=1 s0=fng (1000,2864) [filtered=0]
cnt=1 s0=fng (998,2866) [filtered=0]
cnt=1 s0=fng (996,2868) [filtered=0]
cnt=1 s0=fng (995,2869) [filtered=0]
cnt=1 s0=fng (993,2871) [filtered=0]
cnt=1 s0=fng (991,2873) [filtered=0]
cnt=1 s0=fng (989,2875) [filtered=0]
cnt=1 s0=fng (988,2877) [filtered=0]
cnt=1 s0=fng (987,2878) [filtered=0]
cnt=1 s0=fng (986,2879) [filtered=0]
cnt=1 s0=fng (985,2880) [filtered=0]
cnt=1 s0=fng (984,2881) [filtered=0]
cnt=1 s0=fng (983,2881) [filtered=0]
cnt=1 s0=fng (983,2881) [filtered=0]
cnt=1 s0=fng (983,2881) [filtered=0]
cnt=1 s0=fng (983,2881) [filtered=0]
cnt=1 s0=fng (983,2881) [filtered=0]
cnt=1 s0=fng (983,2881) [filtered=0]
cnt=1 s0=fng (983,2881) [filtered=0]
cnt=1 s0=fng (983,2881) [filtered=0]
cnt=1 s0=fng (983,2881) [filtered=0]
cnt=1 s0=fng (983,2881) [filtered=0]
cnt=1 s0=fng (983,2881) [filtered=0]
cnt=1 s0=fng (983,2881) [filtered=0]
cnt=1 s0=fng (983,2881) [filtered=0]
cnt=1 s0=fng (983,2881) [filtered=0]
cnt=1 s0=fng (983,2881)* [filtered=0]
cnt=1 s0=fng (983,2881)* [filtered=0]
cnt=1 s0=fng (983,2881)* [filtered=0]
cnt=1 s0=fng (983,2881)* [filtered=0]
cnt=1 s0=fng (983,2881)* [filtered=0]
cnt=1 s0=fng (983,2881)* [filtered=0]
cnt=1 s0=fng (983,2881)* [filtered=0]
cnt=1 s0=fng (982,2881)* [filtered=0]
cnt=1 s0=fng (981,2881)* [filtered=0]
cnt=1 s0=fng (981,2882)* [filtered=0]
cnt=1 s0=fng (981,2882)* [filtered=0]
cnt=1 s0=fng (980,2882)* [filtered=0]
cnt=1 s0=fng (980,2883)* [filtered=0]
cnt=1 s0=fng (979,2883)* [filtered=0]
cnt=1 s0=fng (979,2884)* [filtered=0]
cnt=1 s0=fng (979,2884)* [filtered=0]
cnt=1 s0=fng (978,2885)* [filtered=0]
cnt=1 s0=fng (977,2885)* [filtered=0]
cnt=1 s0=fng (977,2886)* [filtered=0]
cnt=1 s0=fng (976,2887)* [filtered=0]
cnt=1 s0=fng (976,2887)* [filtered=0]
cnt=1 s0=fng (976,2888)* [filtered=0]
cnt=1 s0=fng (975,2888)* [filtered=0]
cnt=1 s0=fng (975,2889)* [filtered=0]
cnt=1 s0=fng (975,2889)* [filtered=0]
cnt=1 s0=fng (974,2890)* [filtered=0]
cnt=1 s0=fng (974,2891)* [filtered=0]
cnt=1 s0=fng (973,2892)* [filtered=0]
cnt=1 s0=fng (972,2892)* [filtered=0]
cnt=1 s0=fng (972,2892)* [filtered=0]
cnt=1 s0=fng (972,2893)* [filtered=0]
cnt=1 s0=fng (971,2893)* [filtered=0]
cnt=1 s0=fng (971,2894)* [filtered=0]
cnt=1 s0=fng (970,2894)* [filtered=0]
cnt=1 s0=fng (970,2894)* [filtered=0]
cnt=1 s0=fng (970,2895)* [filtered=0]
cnt=1 s0=fng (969,2896)* [filtered=0]
cnt=1 s0=fng (969,2896)* [filtered=0]
cnt=1 s0=fng (968,2897)* [filtered=0]
cnt=1 s0=fng (968,2897)* [filtered=0]
cnt=1 s0=fng (968,2897)* [filtered=0]
cnt=1 s0=fng (968,2898)* [filtered=0]
cnt=1 s0=fng (967,2898)* [filtered=0]
cnt=1 s0=fng (967,2898)* [filtered=0]
cnt=1 s0=fng (967,2899)* [filtered=0]
cnt=1 s0=fng (967,2900)* [filtered=0]
cnt=1 s0=fng (967,2900)* [filtered=0]
cnt=1 s0=fng (967,2901)* [filtered=0]
cnt=1 s0=fng (967,2901)* [filtered=0]
cnt=1 s0=fng (966,2901)* [filtered=0]
cnt=1 s0=fng (966,2902)* [filtered=0]
cnt=1 s0=fng (966,2903)* [filtered=0]
cnt=1 s0=fng (966,2903)* [filtered=0]
cnt=1 s0=fng (966,2903)* [filtered=0]
cnt=1 s0=fng (966,2903)* [filtered=0]
cnt=1 s0=fng (966,2903)* [filtered=0]
cnt=1 s0=fng (966,2903)* [filtered=0]
cnt=1 s0=fng (966,2903)* [filtered=0]
cnt=1 s0=fng (966,2903)* [filtered=0]
cnt=1 s0=fng (966,2903)* [filtered=0]
cnt=1 s0=fng (966,2903)* [filtered=0]
cnt=1 s0=fng (966,2903)* [filtered=0]
cnt=1 s0=fng (966,2903)* [filtered=0]
cnt=1 s0=fng (966,2903)* [filtered=0]
cnt=1 s0=fng (966,2903)* [filtered=0]
cnt=1 s0=fng (966,2903)* [filtered=0]
cnt=1 s0=fng (966,2902)* [filtered=0]
cnt=1 s0=fng (966,2902)* [filtered=0]
cnt=1 s0=fng (966,2901)* [filtered=0]
cnt=1 s0=fng (966,2901)* [filtered=0]
cnt=1 s0=fng (966,2900)* [filtered=0]
cnt=1 s0=fng (966,2900)* [filtered=0]
cnt=1 s0=fng (966,2900)* [filtered=0]
cnt=1 s0=fng (966,2899)* [filtered=0]
cnt=1 s0=fng (966,2898)* [filtered=0]
cnt=1 s0=fng (966,2898)* [filtered=0]
cnt=1 s0=fng (966,2898)* [filtered=0]
cnt=1 s0=fng (966,2897)* [filtered=0]
cnt=1 s0=fng (966,2897)* [filtered=0]
cnt=1 s0=fng (966,2897)* [filtered=0]
cnt=1 s0=fng (965,2897)* [filtered=0]
cnt=1 s0=fng (965,2897)* [filtered=0]
cnt=1 s0=fng (965,2897)* [filtered=0]
cnt=1 s0=fng (964,2897)* [filtered=0]
cnt=1 s0=fng (963,2897)* [filtered=0]
cnt=1 s0=fng (963,2897)* [filtered=0]
cnt=1 s0=fng (963,2897)* [filtered=0]
cnt=1 s0=fng (962,2897)* [filtered=0]
cnt=1 s0=fng (962,2897)* [filtered=0]
cnt=1 s0=fng (961,2897)* [filtered=0]
cnt=1 s0=fng (961,2897)* [filtered=0]
cnt=1 s0=fng (961,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (960,2897)* [filtered=0]
cnt=1 s0=fng (961,2897)* [filtered=0]
cnt=1 s0=fng (961,2897)* [filtered=0]
cnt=1 s0=fng (961,2897)* [filtered=0]
cnt=1 s0=fng (962,2897)* [filtered=0]
cnt=1 s0=fng (962,2897)* [filtered=0]
cnt=1 s0=fng (963,2896)* [filtered=0]
cnt=1 s0=fng (963,2896)* [filtered=0]
cnt=1 s0=fng (964,2896)* [filtered=0]
cnt=1 s0=fng (965,2895)* [filtered=0]
cnt=1 s0=fng (966,2894)* [filtered=0]
cnt=1 s0=fng (966,2893)* [filtered=0]
cnt=1 s0=fng (967,2892)* [filtered=0]
cnt=1 s0=fng (968,2891)* [filtered=0]
cnt=1 s0=fng (969,2890)* [filtered=0]
cnt=1 s0=fng (970,2888)* [filtered=0]
cnt=1 s0=fng (971,2887)* [filtered=0]
cnt=1 s0=fng (972,2886)* [filtered=0]
cnt=1 s0=fng (973,2884)* [filtered=0]
cnt=1 s0=fng (974,2883)* [filtered=0]
cnt=1 s0=fng (975,2881)* [filtered=0]
cnt=1 s0=fng (975,2880)* [filtered=0]
cnt=1 s0=fng (976,2879)* [filtered=0]
cnt=1 s0=fng (977,2878)* [filtered=0]
cnt=1 s0=fng (978,2876)* [filtered=0]
cnt=1 s0=fng (978,2875)* [filtered=0]
cnt=1 s0=fng (979,2874)* [filtered=0]
cnt=1 s0=fng (979,2872)* [filtered=0]
cnt=1 s0=fng (980,2871)* [filtered=0]
cnt=1 s0=fng (980,2870)* [filtered=0]
cnt=1 s0=fng (980,2869)* [filtered=0]
cnt=1 s0=fng (981,2868)* [filtered=0]
cnt=1 s0=fng (981,2867)* [filtered=0]
cnt=1 s0=fng (982,2866)* [filtered=0]
cnt=1 s0=fng (983,2865)* [filtered=0]
cnt=1 s0=fng (983,2864)* [filtered=0]
cnt=1 s0=fng (983,2863)* [filtered=0]
cnt=1 s0=fng (984,2863)* [filtered=0]
cnt=1 s0=fng (984,2862)* [filtered=0]
cnt=1 s0=fng (984,2862)* [filtered=0]
cnt=1 s0=fng (984,2862)* [filtered=0]
cnt=1 s0=fng (984,2861)* [filtered=0]
cnt=1 s0=fng (984,2860)* [filtered=0]
cnt=1 s0=fng (984,2860)* [filtered=0]
cnt=1 s0=fng (984,2860)* [filtered=0]
cnt=1 s0=fng (985,2859)* [filtered=0]
cnt=1 s0=fng (985,2859)* [filtered=0]
cnt=1 s0=fng (986,2858)* [filtered=0]
cnt=1 s0=fng (987,2858)* [filtered=0]
cnt=1 s0=fng (987,2858)* [filtered=0]
cnt=1 s0=fng (987,2857)* [filtered=0]
cnt=1 s0=fng (988,2856)* [filtered=0]
cnt=1 s0=fng (988,2856)* [filtered=0]
cnt=1 s0=fng (989,2855)* [filtered=0]
cnt=1 s0=fng (989,2855)* [filtered=0]
cnt=1 s0=fng (989,2855)* [filtered=0]
cnt=1 s0=fng (990,2854)* [filtered=0]
cnt=1 s0=fng (990,2854)* [filtered=0]
cnt=1 s0=fng (991,2853)* [filtered=0]
cnt=1 s0=fng (991,2853)* [filtered=0]
cnt=1 s0=fng (992,2852)* [filtered=0]
cnt=1 s0=fng (992,2852)* [filtered=0]
cnt=1 s0=fng (993,2852)* [filtered=0]
cnt=1 s0=fng (993,2852)* [filtered=0]
cnt=1 s0=fng (993,2852)* [filtered=0]
cnt=1 s0=fng (994,2852)* [filtered=0]
cnt=1 s0=fng (994,2852)* [filtered=0]
cnt=1 s0=fng (995,2852)* [filtered=0]
cnt=1 s0=fng (995,2852)* [filtered=0]
cnt=1 s0=fng (996,2852)* [filtered=0]
cnt=1 s0=fng (996,2852)* [filtered=0]
cnt=1 s0=fng (996,2851)* [filtered=0]
cnt=1 s0=fng (996,2851)* [filtered=0]
cnt=1 s0=fng (996,2851)* [filtered=0]
cnt=1 s0=fng (995,2850)* [filtered=0]
cnt=1 s0=fng (994,2849)* [filtered=0]
cnt=1 s0=fng (994,2848)* [filtered=0]
cnt=1 s0=fng (993,2847)* [filtered=0]
cnt=1 s0=fng (993,2846)* [filtered=0]
cnt=1 s0=fng (993,2845)* [filtered=0]
cnt=1 s0=fng (992,2844)* [filtered=0]
cnt=1 s0=fng (2051,1631) [filtered=0]
cnt=1 s0=fng (2051,1631) [filtered=0]
cnt=1 s0=fng (2051,1631) [filtered=0]
cnt=1 s0=fng (2052,1631) [filtered=0]
cnt=1 s0=fng (2053,1631) [filtered=0]
cnt=1 s0=fng (2054,1632) [filtered=0]
cnt=1 s0=fng (2054,1632) [filtered=0]
cnt=1 s0=fng (2055,1633) [filtered=0]
cnt=1 s0=fng (2056,1633) [filtered=0]
cnt=1 s0=fng (2057,1634) [filtered=0]
cnt=1 s0=fng (2058,1634) [filtered=0]
cnt=1 s0=fng (2058,1634) [filtered=0]
cnt=1 s0=fng (2059,1634) [filtered=0]
cnt=1 s0=fng (2059,1634) [filtered=0]
cnt=1 s0=fng (2060,1634) [filtered=0]
cnt=1 s0=fng (2060,1634) [filtered=0]
cnt=1 s0=fng (2060,1634) [filtered=0]
cnt=1 s0=fng (2060,1634) [filtered=0]
cnt=1 s0=fng (2060,1634) [filtered=0]
cnt=1 s0=fng (2060,1634) [filtered=0]
cnt=1 s0=fng (2060,1634)* [filtered=0]
cnt=1 s0=fng (2060,1634)* [filtered=0]
cnt=1 s0=fng (2060,1634)* [filtered=0]
cnt=1 s0=fng (2060,1634)* [filtered=0]
cnt=1 s0=fng (2060,1634)* [filtered=0]
cnt=1 s0=fng (2060,1634)* [filtered=0]
cnt=1 s0=fng (2060,1634)* [filtered=0]
cnt=1 s0=fng (2060,1634)* [filtered=0]
cnt=1 s0=fng (2060,1635)* [filtered=0]
cnt=1 s0=fng (2060,1635)* [filtered=0]
cnt=1 s0=fng (2060,1635)* [filtered=0]
cnt=1 s0=fng (2060,1636)* [filtered=0]
cnt=1 s0=fng (2060,1637)* [filtered=0]
cnt=1 s0=fng (2060,1637)* [filtered=0]
cnt=1 s0=fng (2060,1637)* [filtered=0]
cnt=1 s0=fng (2060,1638)* [filtered=0]
cnt=1 s0=fng (2060,1638)* [filtered=0]
cnt=1 s0=fng (2060,1639)* [filtered=0]
cnt=1 s0=fng (2060,1640)* [filtered=0]
cnt=1 s0=fng (2060,1640)* [filtered=0]
cnt=1 s0=fng (2060,1640)* [filtered=0]
cnt=1 s0=fng (2060,1641)* [filtered=0]
cnt=1 s0=fng (2060,1641)* [filtered=0]
cnt=1 s0=fng (2060,1642)* [filtered=0]
cnt=1 s0=fng (2060,1642)* [filtered=0]
cnt=1 s0=fng (2060,1642)* [filtered=0]
