touchpad: x[0..4762] y[0..3099] res=32,32 slots=5
palm: bottom_zone=1200 edge_left=476 edge_right=4285 spread=400
virtual device created: ASUF1209 Palm Filtered Touchpad
grabbed source device (exclusive)
cnt=1 s0=fng (404,2872) [filtered=0]
cnt=1 s0=fng (404,2872) [filtered=0]
cnt=1 s0=fng (404,2872) [filtered=0]
cnt=1 s0=fng (404,2872) [filtered=0]
cnt=1 s0=fng (404,2872) [filtered=0]
cnt=1 s0=fng (404,2872) [filtered=0]
cnt=1 s0=fng (405,2872) [filtered=0]
cnt=1 s0=fng (405,2872) [filtered=0]
cnt=1 s0=fng (405,2872) [filtered=0]
cnt=1 s0=fng (405,2872) [filtered=0]
cnt=1 s0=fng (405,2872) [filtered=0]
cnt=1 s0=fng (405,2872) [filtered=0]
cnt=1 s0=fng (405,2872) [filtered=0]
cnt=1 s0=fng (405,2872) [filtered=0]
cnt=1 s0=fng (405,2872) [filtered=0]
cnt=1 s0=fng (406,2872) [filtered=0]
click: x=406 -> zone=0x110
cnt=1 s0=fng (406,2872) [filtered=0]
cnt=1 s0=fng (406,2872) [filtered=0]
cnt=1 s0=fng (406,2872) [filtered=0]
cnt=1 s0=fng (407,2872) [filtered=0]
cnt=1 s0=fng (408,2872)* [filtered=0]
cnt=1 s0=fng (408,2872)* [filtered=0]
cnt=1 s0=fng (408,2872)* [filtered=0]
cnt=1 s0=fng (409,2872)* [filtered=0]
cnt=1 s0=fng (409,2872)* [filtered=0]
cnt=1 s0=fng (410,2872)* [filtered=0]
cnt=1 s0=fng (410,2872)* [filtered=0]
cnt=1 s0=fng (410,2872)* [filtered=0]
cnt=1 s0=fng (411,2872)* [filtered=0]
cnt=1 s0=fng (412,2872)* [filtered=0]
cnt=1 s0=fng (413,2872)* [filtered=0]
cnt=1 s0=fng (413,2872)* [filtered=0]
cnt=1 s0=fng (414,2872)* [filtered=0]
cnt=1 s0=fng (415,2872)* [filtered=0]
cnt=1 s0=fng (416,2872)* [filtered=0]
cnt=1 s0=fng (416,2872)* [filtered=0]
cnt=1 s0=fng (417,2872)* [filtered=0]
cnt=1 s0=fng (417,2872)* [filtered=0]
cnt=1 s0=fng (418,2872)* [filtered=0]
cnt=1 s0=fng (418,2872)* [filtered=0]
cnt=1 s0=fng (418,2872)* [filtered=0]
cnt=1 s0=fng (419,2872)* [filtered=0]
cnt=1 s0=fng (419,2872)* [filtered=0]
cnt=1 s0=fng (420,2872)* [filtered=0]
cnt=1 s0=fng (421,2872)* [filtered=0]
cnt=1 s0=fng (421,2872)* [filtered=0]
cnt=1 s0=fng (421,2872)* [filtered=0]
cnt=1 s0=fng (421,2872)* [filtered=0]
cnt=1 s0=fng (421,2872)* [filtered=0]
cnt=1 s0=fng (421,2872)* [filtered=0]
cnt=1 s0=fng (421,2872)* [filtered=0]
cnt=1 s0=fng (421,2872)* [filtered=0]
cnt=1 s0=fng (421,2872)* [filtered=0]
cnt=1 s0=fng (421,2872)* [filtered=0]
cnt=1 s0=fng (421,2872)* [filtered=0]
cnt=1 s0=fng (420,2872)* [filtered=0]
cnt=1 s0=fng (419,2872)* [filtered=0]
cnt=1 s0=fng (418,2873)* [filtered=0]
cnt=1 s0=fng (417,2873)* [filtered=0]
cnt=1 s0=fng (417,2873)* [filtered=0]
cnt=1 s0=fng (416,2874)* [filtered=0]
cnt=1 s0=fng (414,2874)* [filtered=0]
cnt=1 s0=fng (413,2875)* [filtered=0]
cnt=1 s0=fng (412,2875)* [filtered=0]
cnt=1 s0=fng (411,2875)* [filtered=0]
cnt=1 s0=fng (409,2876)* [filtered=0]
cnt=1 s0=fng (407,2877)* [filtered=0]
cnt=1 s0=fng (405,2878)* [filtered=0]
cnt=1 s0=fng (404,2879)* [filtered=0]
cnt=1 s0=fng (403,2880)* [filtered=0]
cnt=1 s0=fng (402,2881)* [filtered=0]
cnt=1 s0=fng (401,2882)* [filtered=0]
cnt=1 s0=fng (400,2884)* [filtered=0]
cnt=1 s0=fng (400,2885)* [filtered=0]
cnt=1 s0=fng (399,2886)* [filtered=0]
cnt=1 s0=fng (4306,2625) [filtered=0]
cnt=1 s0=fng (4306,2625) [filtered=0]
cnt=1 s0=fng (4306,2625) [filtered=0]
cnt=1 s0=fng (4306,2625) [filtered=0]
cnt=1 s0=fng (4306,2625) [filtered=0]
cnt=1 s0=fng (4306,2625) [filtered=0]
cnt=1 s0=fng (4306,2625) [filtered=0]
cnt=1 s0=fng (4306,2625) [filtered=0]
cnt=1 s0=fng (4306,2625) [filtered=0]
cnt=1 s0=fng (4306,2625) [filtered=0]
cnt=1 s0=fng (4306,2625) [filtered=0]
cnt=1 s0=fng (4306,2626) [filtered=0]
cnt=1 s0=fng (4306,2626) [filtered=0]
cnt=1 s0=fng (4306,2626) [filtered=0]
cnt=1 s0=fng (4306,2627) [filtered=0]
cnt=1 s0=fng (4306,2628) [filtered=0]
cnt=1 s0=fng (4306,2628) [filtered=0]
cnt=1 s0=fng (4306,2628) [filtered=0]
cnt=1 s0=fng (4306,2628) [filtered=0]
cnt=1 s0=fng (4306,2628) [filtered=0]
cnt=1 s0=fng (4306,2629)* [filtered=0]
cnt=1 s0=fng (4306,2629)* [filtered=0]
cnt=1 s0=fng (4306,2629)* [filtered=0]
cnt=1 s0=fng (4306,2630)* [filtered=0]
cnt=1 s0=fng (4306,2630)* [filtered=0]
cnt=1 s0=fng (4306,2631)* [filtered=0]
cnt=1 s0=fng (4306,2631)* [filtered=0]
cnt=1 s0=fng (4306,2632)* [filtered=0]
cnt=1 s0=fng (4306,2632)* [filtered=0]
cnt=1 s0=fng (4306,2633)* [filtered=0]
cnt=1 s0=fng (4306,2633)* [filtered=0]
cnt=1 s0=fng (4306,2633)* [filtered=0]
cnt=1 s0=fng (4306,2634)* [filtered=0]
cnt=1 s0=fng (4306,2634)* [filtered=0]
cnt=1 s0=fng (4306,2635)* [filtered=0]
cnt=1 s0=fng (4306,2635)* [filtered=0]
cnt=1 s0=fng (4306,2636)* [filtered=0]
cnt=1 s0=fng (4306,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
click: x=4307 -> zone=0x111
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2636)* [filtered=0]
cnt=1 s0=fng (4307,2637)* [filtered=0]
cnt=1 s0=fng (4307,2637)* [filtered=0]
cnt=1 s0=fng (4307,2638)* [filtered=0]
cnt=1 s0=fng (4307,2638)* [filtered=0]
cnt=1 s0=fng (4307,2639)* [filtered=0]
cnt=1 s0=fng (4307,2639)* [filtered=0]
cnt=1 s0=fng (4307,2640)* [filtered=0]
cnt=1 s0=fng (4307,2640)* [filtered=0]
cnt=1 s0=fng (4307,2641)* [filtered=0]
cnt=1 s0=fng (4307,2641)* [filtered=0]
cnt=1 s0=fng (4307,2641)* [filtered=0]
cnt=1 s0=fng (4307,2642)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
click: x=4307 -> zone=0x111
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4307,2643)* [filtered=0]
cnt=1 s0=fng (4306,2643)* [filtered=0]
cnt=1 s0=fng (4306,2643)* [filtered=0]
cnt=1 s0=fng (4305,2643)* [filtered=0]
cnt=1 s0=fng (4305,2643)* [filtered=0]
cnt=1 s0=fng (4304,2643)* [filtered=0]
click: x=4304 -> zone=0x111
cnt=1 s0=fng (4304,2643)* [filtered=0]
cnt=1 s0=fng (4304,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4303,2643)* [filtered=0]
cnt=1 s0=fng (4302,2643)* [filtered=0]
cnt=1 s0=fng (4302,2643)* [filtered=0]
cnt=1 s0=fng (4301,2643)* [filtered=0]
cnt=1 s0=fng (4301,2643)* [filtered=0]
cnt=1 s0=fng (4300,2643)* [filtered=0]
cnt=1 s0=fng (4299,2643)* [filtered=0]
cnt=1 s0=fng (4298,2644)* [filtered=0]
cnt=1 s0=fng (4297,2644)* [filtered=0]
cnt=1 s0=fng (4295,2646) [filtered=0]
cnt=1 s0=fng (4292,2648) [filtered=0]
cnt=1 s0=fng (4289,2650) [filtered=0]
cnt=1 s0=fng (4286,2653) [filtered=0]
cnt=1 s0=fng (2671,2900) [filtered=0]
click: x=2670 -> zone=0x112
cnt=1 s0=fng (2670,2900) [filtered=0]
cnt=1 s0=fng (2670,2899) [filtered=0]
cnt=1 s0=fng (2670,2899) [filtered=0]
cnt=1 s0=fng (2669,2898) [filtered=0]
cnt=1 s0=fng (2669,2898) [filtered=0]
cnt=1 s0=fng (2669,2897) [filtered=0]
cnt=1 s0=fng (2669,2897) [filtered=0]
cnt=1 s0=fng (2669,2897) [filtered=0]
cnt=1 s0=fng (2669,2896) [filtered=0]
cnt=1 s0=fng (2669,2896) [filtered=0]
cnt=1 s0=fng (2669,2895) [filtered=0]
cnt=1 s0=fng (2669,2895) [filtered=0]
cnt=1 s0=fng (2669,2894) [filtered=0]
cnt=1 s0=fng (2670,2894) [filtered=0]
cnt=1 s0=fng (2670,2894) [filtered=0]
cnt=1 s0=fng (2670,2894) [filtered=0]
cnt=1 s0=fng (2670,2894) [filtered=0]
cnt=1 s0=fng (2670,2893) [filtered=0]
cnt=1 s0=fng (2671,2893) [filtered=0]
cnt=1 s0=fng (2671,2893)* [filtered=0]
cnt=1 s0=fng (2672,2893)* [filtered=0]
cnt=1 s0=fng (2672,2893)* [filtered=0]
cnt=1 s0=fng (2672,2893)* [filtered=0]
cnt=1 s0=fng (2672,2893)* [filtered=0]
cnt=1 s0=fng (2672,2893)* [filtered=0]
cnt=1 s0=fng (2672,2893)* [filtered=0]
cnt=1 s0=fng (2673,2893)* [filtered=0]
cnt=1 s0=fng (2673,2893)* [filtered=0]
cnt=1 s0=fng (2673,2893)* [filtered=0]
cnt=1 s0=fng (2673,2893)* [filtered=0]
cnt=1 s0=fng (2673,2893)* [filtered=0]
cnt=1 s0=fng (2673,2893)* [filtered=0]
cnt=1 s0=fng (2673,2893)* [filtered=0]
cnt=1 s0=fng (2672,2892)* [filtered=0]
cnt=1 s0=fng (2672,2892)* [filtered=0]
cnt=1 s0=fng (2672,2892)* [filtered=0]
cnt=1 s0=fng (2671,2891)* [filtered=0]
cnt=1 s0=fng (2671,2890)* [filtered=0]
cnt=1 s0=fng (2670,2890)* [filtered=0]
cnt=1 s0=fng (2670,2889)* [filtered=0]
cnt=1 s0=fng (2670,2889)* [filtered=0]
cnt=1 s0=fng (2669,2889)* [filtered=0]
cnt=1 s0=fng (2669,2888)* [filtered=0]
cnt=1 s0=fng (2669,2888)* [filtered=0]
cnt=1 s0=fng (2669,2888)* [filtered=0]
cnt=1 s0=fng (2669,2887)* [filtered=0]
cnt=1 s0=fng (2669,2886)* [filtered=0]
cnt=1 s0=fng (2669,2886)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2669,2885)* [filtered=0]
click: x=2669 -> zone=0x112
cnt=1 s0=fng (2669,2885)* [filtered=0]
cnt=1 s0=fng (2670,2885)* [filtered=0]
cnt=1 s0=fng (2670,2885)* [filtered=0]
cnt=1 s0=fng (2670,2885)* [filtered=0]
cnt=1 s0=fng (2671,2885)* [filtered=0]
cnt=1 s0=fng (2671,2885)* [filtered=0]
cnt=1 s0=fng (2671,2885)* [filtered=0]
cnt=1 s0=fng (2672,2885)* [filtered=0]
cnt=1 s0=fng (2672,2885)* [filtered=0]
cnt=1 s0=fng (2672,2885)* [filtered=0]
cnt=1 s0=fng (2673,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2885)* [filtered=0]
cnt=1 s0=fng (2674,2886)* [filtered=0]
cnt=1 s0=fng (2674,2886)* [filtered=0]
cnt=1 s0=fng (2674,2886)* [filtered=0]
cnt=1 s0=fng (2674,2887)* [filtered=0]
cnt=1 s0=fng (2674,2887)* [filtered=0]
cnt=1 s0=fng (2674,2887)* [filtered=0]
cnt=1 s0=fng (2674,2888)* [filtered=0]
cnt=1 s0=fng (2674,2888)* [filtered=0]
cnt=1 s0=fng (2674,2888)* [filtered=0]
