touchpad: x[0..4762] y[0..3099] res=32,32 slots=5
palm: bottom_zone=1200 edge_left=476 edge_right=4285 spread=400
virtual device created: ASUF1209 Palm Filtered Touchpad
grabbed source device (exclusive)
cnt=1 s0=fng (589,2624) [filtered=0]
cnt=1 s0=fng (589,2624) [filtered=0]
cnt=1 s0=fng (589,2624) [filtered=0]
cnt=1 s0=fng (589,2624) [filtered=0]
cnt=1 s0=fng (589,2624) [filtered=0]
cnt=1 s0=fng (589,2624) [filtered=0]
cnt=1 s0=fng (589,2624) [filtered=0]
cnt=1 s0=fng (589,2624) [filtered=0]
cnt=1 s0=fng (589,2624) [filtered=0]
cnt=1 s0=fng (589,2624) [filtered=0]
cnt=1 s0=fng (589,2624) [filtered=0]
cnt=1 s0=fng (589,2624) [filtered=0]
cnt=1 s0=fng (589,2624) [filtered=0]
cnt=1 s0=fng (589,2624) [filtered=0]
cnt=1 s0=fng (589,2624) [filtered=0]
cnt=1 s0=fng (589,2624) [filtered=0]
cnt=1 s0=fng (589,2625) [filtered=0]
click: x=589 -> zone=0x110
cnt=1 s0=fng (589,2625) [filtered=0]
cnt=1 s0=fng (589,2626) [filtered=0]
cnt=1 s0=fng (589,2626) [filtered=0]
cnt=1 s0=fng (589,2626)* [filtered=0]
cnt=1 s0=fng (589,2627)* [filtered=0]
cnt=1 s0=fng (589,2628)* [filtered=0]
cnt=1 s0=fng (589,2628)* [filtered=0]
cnt=1 s0=fng (589,2628)* [filtered=0]
cnt=1 s0=fng (589,2629)* [filtered=0]
cnt=1 s0=fng (589,2631)* [filtered=0]
cnt=1 s0=fng (589,2632)* [filtered=0]
cnt=1 s0=fng (588,2634)* [filtered=0]
cnt=1 s0=fng (588,2635)* [filtered=0]
cnt=1 s0=fng (587,2636)* [filtered=0]
cnt=1 s0=fng (587,2637)* [filtered=0]
cnt=1 s0=fng (586,2639)* [filtered=0]
cnt=1 s0=fng (586,2640)* [filtered=0]
cnt=1 s0=fng (586,2641)* [filtered=0]
cnt=1 s0=fng (585,2643)* [filtered=0]
cnt=1 s0=fng (585,2644)* [filtered=0]
cnt=1 s0=fng (584,2646)* [filtered=0]
cnt=1 s0=fng (584,2647)* [filtered=0]
cnt=1 s0=fng (583,2648)* [filtered=0]
cnt=1 s0=fng (583,2649)* [filtered=0]
cnt=1 s0=fng (582,2650)* [filtered=0]
cnt=1 s0=fng (582,2651)* [filtered=0]
cnt=1 s0=fng (582,2652)* [filtered=0]
cnt=1 s0=fng (581,2652)* [filtered=0]
cnt=1 s0=fng (581,2653)* [filtered=0]
cnt=1 s0=fng (581,2653)* [filtered=0]
cnt=1 s0=fng (581,2653)* [filtered=0]
cnt=1 s0=fng (581,2653)* [filtered=0]
cnt=1 s0=fng (581,2653)* [filtered=0]
cnt=1 s0=fng (581,2653)* [filtered=0]
cnt=1 s0=fng (581,2653)* [filtered=0]
cnt=1 s0=fng (581,2653)* [filtered=0]
cnt=1 s0=fng (581,2653)* [filtered=0]
cnt=1 s0=fng (581,2653)* [filtered=0]
cnt=1 s0=fng (581,2653)* [filtered=0]
cnt=1 s0=fng (581,2653)* [filtered=0]
cnt=1 s0=fng (581,2653)* [filtered=0]
cnt=1 s0=fng (581,2653)* [filtered=0]
cnt=1 s0=fng (582,2653)* [filtered=0]
cnt=1 s0=fng (583,2653)* [filtered=0]
cnt=1 s0=fng (584,2652)* [filtered=0]
cnt=1 s0=fng (584,2652)* [filtered=0]
cnt=1 s0=fng (585,2652)* [filtered=0]
cnt=1 s0=fng (586,2651)* [filtered=0]
cnt=1 s0=fng (588,2650)* [filtered=0]
cnt=1 s0=fng (589,2650)* [filtered=0]
cnt=1 s0=fng (591,2649)* [filtered=0]
cnt=1 s0=fng (593,2648)* [filtered=0]
cnt=1 s0=fng (594,2647)* [filtered=0]
cnt=1 s0=fng (596,2646)* [filtered=0]
cnt=1 s0=fng (597,2645)* [filtered=0]
cnt=1 s0=fng (598,2644)* [filtered=0]
cnt=1 s0=fng (599,2643)* [filtered=0]
cnt=1 s0=fng (600,2642)* [filtered=0]
cnt=1 s0=fng (601,2641)* [filtered=0]
click: x=602 -> zone=0x110
cnt=1 s0=fng (602,2640)* [filtered=0]
cnt=1 s0=fng (603,2639)* [filtered=0]
cnt=1 s0=fng (604,2638)* [filtered=0]
cnt=1 s0=fng (604,2637)* [filtered=0]
cnt=1 s0=fng (604,2637)* [filtered=0]
cnt=1 s0=fng (605,2636)* [filtered=0]
