touchpad: x[0..4762] y[0..3099] res=32,32 slots=5
palm: bottom_zone=1200 edge_left=476 edge_right=4285 spread=400
virtual device created: ASUF1209 Palm Filtered Touchpad
grabbed source device (exclusive)
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
click: x=580 -> zone=0x110
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935) [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
click: x=580 -> zone=0x110
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (580,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2935)* [filtered=0]
cnt=1 s0=fng (581,2934)* [filtered=0]
cnt=1 s0=fng (581,2933)* [filtered=0]
cnt=1 s0=fng (581,2933)* [filtered=0]
cnt=1 s0=fng (582,2932)* [filtered=0]
cnt=1 s0=fng (582,2932)* [filtered=0]
cnt=1 s0=fng (582,2931)* [filtered=0]
cnt=1 s0=fng (582,2931)* [filtered=0]
cnt=1 s0=fng (583,2930)* [filtered=0]
cnt=1 s0=fng (583,2929)* [filtered=0]
cnt=1 s0=fng (584,2927)* [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751) [filtered=0]
cnt=1 s0=fng (2444,2751)* [filtered=0]
cnt=1 s0=fng (2444,2751)* [filtered=0]
cnt=1 s0=fng (2444,2751)* [filtered=0]
cnt=1 s0=fng (2444,2751)* [filtered=0]
cnt=1 s0=fng (2444,2751)* [filtered=0]
cnt=1 s0=fng (2444,2751)* [filtered=0]
cnt=1 s0=fng (2444,2751)* [filtered=0]
cnt=1 s0=fng (2444,2751)* [filtered=0]
cnt=1 s0=fng (2444,2751)* [filtered=0]
click: x=2444 -> zone=0x112
cnt=1 s0=fng (2444,2750)* [filtered=0]
cnt=1 s0=fng (2444,2750)* [filtered=0]
cnt=1 s0=fng (2444,2749)* [filtered=0]
cnt=1 s0=fng (2444,2749)* [filtered=0]
cnt=1 s0=fng (2444,2749)* [filtered=0]
cnt=1 s0=fng (2444,2748)* [filtered=0]
cnt=1 s0=fng (2444,2747)* [filtered=0]
cnt=1 s0=fng (2444,2747)* [filtered=0]
cnt=1 s0=fng (2444,2747)* [filtered=0]
cnt=1 s0=fng (2444,2747)* [filtered=0]
cnt=1 s0=fng (2444,2747)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2444,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
click: x=2445 -> zone=0x112
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2746)* [filtered=0]
cnt=1 s0=fng (2445,2747)* [filtered=0]
cnt=1 s0=fng (2446,2747)* [filtered=0]
cnt=1 s0=fng (2446,2747)* [filtered=0]
cnt=1 s0=fng (2447,2747)* [filtered=0]
cnt=1 s0=fng (2448,2747)* [filtered=0]
cnt=1 s0=fng (2450,2747)* [filtered=0]
cnt=1 s0=fng (2454,2747) [filtered=0]
cnt=1 s0=fng (2456,2747) [filtered=0]
cnt=1 s0=fng (2462,2746) [filtered=0]
cnt=1 s0=fng (2470,2744) [filtered=0]
cnt=1 s0=fng (2478,2743) [filtered=0]
cnt=1 s0=fng (3973,2680) [filtered=0]
cnt=1 s0=fng (3973,2680) [filtered=0]
cnt=1 s0=fng (3973,2679) [filtered=0]
cnt=1 s0=fng (3973,2678) [filtered=0]
cnt=1 s0=fng (3973,2678) [filtered=0]
click: x=3972 -> zone=0x111
cnt=1 s0=fng (3972,2677) [filtered=0]
cnt=1 s0=fng (3972,2676) [filtered=0]
cnt=1 s0=fng (3971,2675) [filtered=0]
cnt=1 s0=fng (3971,2675) [filtered=0]
cnt=1 s0=fng (3971,2675) [filtered=0]
cnt=1 s0=fng (3970,2674) [filtered=0]
cnt=1 s0=fng (3970,2674) [filtered=0]
cnt=1 s0=fng (3970,2674) [filtered=0]
cnt=1 s0=fng (3970,2674) [filtered=0]
cnt=1 s0=fng (3970,2674) [filtered=0]
cnt=1 s0=fng (3970,2674) [filtered=0]
cnt=1 s0=fng (3970,2674) [filtered=0]
cnt=1 s0=fng (3970,2675) [filtered=0]
cnt=1 s0=fng (3970,2675) [filtered=0]
cnt=1 s0=fng (3970,2675) [filtered=0]
cnt=1 s0=fng (3970,2676)* [filtered=0]
cnt=1 s0=fng (3970,2677)* [filtered=0]
cnt=1 s0=fng (3970,2677)* [filtered=0]
cnt=1 s0=fng (3970,2677)* [filtered=0]
cnt=1 s0=fng (3970,2678)* [filtered=0]
cnt=1 s0=fng (3970,2678)* [filtered=0]
cnt=1 s0=fng (3970,2679)* [filtered=0]
cnt=1 s0=fng (3970,2679)* [filtered=0]
cnt=1 s0=fng (3970,2679)* [filtered=0]
cnt=1 s0=fng (3970,2679)* [filtered=0]
cnt=1 s0=fng (3969,2679)* [filtered=0]
cnt=1 s0=fng (3968,2679)* [filtered=0]
cnt=1 s0=fng (3968,2679)* [filtered=0]
cnt=1 s0=fng (3968,2679)* [filtered=0]
cnt=1 s0=fng (3967,2678)* [filtered=0]
cnt=1 s0=fng (3966,2678)* [filtered=0]
cnt=1 s0=fng (3965,2677)* [filtered=0]
cnt=1 s0=fng (3964,2677)* [filtered=0]
cnt=1 s0=fng (3963,2676)* [filtered=0]
cnt=1 s0=fng (3962,2675)* [filtered=0]
cnt=1 s0=fng (3961,2674)* [filtered=0]
cnt=1 s0=fng (3960,2672)* [filtered=0]
cnt=1 s0=fng (3960,2671)* [filtered=0]
cnt=1 s0=fng (3959,2670)* [filtered=0]
cnt=1 s0=fng (3958,2669)* [filtered=0]
cnt=1 s0=fng (3957,2668)* [filtered=0]
cnt=1 s0=fng (3957,2667)* [filtered=0]
cnt=1 s0=fng (3957,2666)* [filtered=0]
cnt=1 s0=fng (3956,2665)* [filtered=0]
cnt=1 s0=fng (3955,2664)* [filtered=0]
cnt=1 s0=fng (3955,2663)* [filtered=0]
cnt=1 s0=fng (3955,2662)* [filtered=0]
cnt=1 s0=fng (3954,2661)* [filtered=0]
cnt=1 s0=fng (3954,2660)* [filtered=0]
cnt=1 s0=fng (3953,2660)* [filtered=0]
cnt=1 s0=fng (3953,2659)* [filtered=0]
cnt=1 s0=fng (3953,2659)* [filtered=0]
cnt=1 s0=fng (3953,2659)* [filtered=0]
cnt=1 s0=fng (3953,2659)* [filtered=0]
click: x=3953 -> zone=0x111
cnt=1 s0=fng (3953,2659)* [filtered=0]
cnt=1 s0=fng (3953,2659)* [filtered=0]
cnt=1 s0=fng (3953,2659)* [filtered=0]
cnt=1 s0=fng (3953,2660)* [filtered=0]
cnt=1 s0=fng (3953,2660)* [filtered=0]
cnt=1 s0=fng (3953,2661)* [filtered=0]
cnt=1 s0=fng (3953,2661)* [filtered=0]
cnt=1 s0=fng (3954,2662)* [filtered=0]
cnt=1 s0=fng (3954,2663)* [filtered=0]
cnt=1 s0=fng (3955,2664)* [filtered=0]
cnt=1 s0=fng (3955,2665)* [filtered=0]
cnt=1 s0=fng (3955,2665)* [filtered=0]
cnt=1 s0=fng (3956,2666)* [filtered=0]
cnt=1 s0=fng (3956,2666)* [filtered=0]
cnt=1 s0=fng (3956,2667)* [filtered=0]
cnt=1 s0=fng (3956,2667)* [filtered=0]
cnt=1 s0=fng (3956,2667)* [filtered=0]
cnt=1 s0=fng (3956,2668)* [filtered=0]
cnt=1 s0=fng (3956,2668)* [filtered=0]
cnt=1 s0=fng (3956,2668)* [filtered=0]
cnt=1 s0=fng (3955,2668)* [filtered=0]
cnt=1 s0=fng (3955,2668)* [filtered=0]
cnt=1 s0=fng (3954,2668)* [filtered=0]
cnt=1 s0=fng (3953,2668)* [filtered=0]
cnt=1 s0=fng (3951,2668)* [filtered=0]
cnt=1 s0=fng (3950,2668)* [filtered=0]
cnt=1 s0=fng (3949,2668)* [filtered=0]
cnt=1 s0=fng (3946,2669) [filtered=0]
cnt=1 s0=fng (3942,2670) [filtered=0]
cnt=1 s0=fng (3938,2671) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
click: x=2998 -> zone=0x111
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785) [filtered=0]
cnt=1 s0=fng (2998,2785)* [filtered=0]
cnt=1 s0=fng (2998,2785)* [filtered=0]
cnt=1 s0=fng (2998,2785)* [filtered=0]
cnt=1 s0=fng (2998,2785)* [filtered=0]
cnt=1 s0=fng (2998,2785)* [filtered=0]
cnt=1 s0=fng (2998,2785)* [filtered=0]
cnt=1 s0=fng (2998,2785)* [filtered=0]
cnt=1 s0=fng (2998,2785)* [filtered=0]
cnt=1 s0=fng (2998,2785)* [filtered=0]
cnt=1 s0=fng (2998,2785)* [filtered=0]
cnt=1 s0=fng (2998,2785)* [filtered=0]
cnt=1 s0=fng (2998,2785)* [filtered=0]
cnt=1 s0=fng (2998,2785)* [filtered=0]
cnt=1 s0=fng (2998,2785)* [filtered=0]
cnt=1 s0=fng (2997,2785)* [filtered=0]
cnt=1 s0=fng (2997,2785)* [filtered=0]
cnt=1 s0=fng (2996,2784)* [filtered=0]
cnt=1 s0=fng (2996,2784)* [filtered=0]
cnt=1 s0=fng (2995,2784)* [filtered=0]
cnt=1 s0=fng (2995,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
click: x=2994 -> zone=0x111
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2994,2783)* [filtered=0]
cnt=1 s0=fng (2995,2783)* [filtered=0]
cnt=1 s0=fng (2995,2783)* [filtered=0]
cnt=1 s0=fng (2995,2783)* [filtered=0]
cnt=1 s0=fng (2996,2783)* [filtered=0]
cnt=1 s0=fng (2996,2783)* [filtered=0]
cnt=1 s0=fng (2997,2783)* [filtered=0]
cnt=1 s0=fng (2997,2783)* [filtered=0]
cnt=1 s0=fng (2997,2783)* [filtered=0]
cnt=1 s0=fng (2997,2783)* [filtered=0]
cnt=1 s0=fng (2997,2783)* [filtered=0]
cnt=1 s0=fng (2997,2783)* [filtered=0]
cnt=1 s0=fng (2997,2783)* [filtered=0]
cnt=1 s0=fng (2997,2783)* [filtered=0]
cnt=1 s0=fng (2997,2783)* [filtered=0]
